title,author,publisher,isbn,description,image,link,pub_review,detail,category_d1,category_d2,category_d3
사인문화(2022년 6월호),편집부,에스엠미디어그룹,9771228023003,nan,https://bookthumb-phinf.pstatic.net/cover/225/053/22505376.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22505376,,,잡지,문예/교양지,문예
그랜마 모지스(개정판) (평범한 삶의 행복을 그리다),이소영,홍익출판미디어그룹,9791191420821,"75세에 그림을 시작해 101세까지 활동한 ‘미국의 국민화가’ 그랜마 모지스의 삶과 그림 이야기-국내 최초 그랜마 모지스 재단과 그림저작권 독점 계약 출간!75세에 처음 그림을 시작하여 101세까지 살면서 ‘미국의 국민화가’로 존경받은 할머니가 있다. 전문적인 미술교육을 받지 않은 질박한 손으로 빚어낸 작품들은 2차 세계대전으로 피폐해진 미국인들에게 응원의 손길이 되었고, 일상의 소소한 행복이 가득한 그림들은 사람들에게 따뜻한 위안이 되었다.이 책은 국내 최초로 그랜마 모지스 재단과 독점 계약한 그림과 작품에 얽힌 이야기들을 담은 고품격 예술 에세이로, 1800년대 중반과 1900년대 초반 미국의 농촌 풍경을 한눈에 볼 수 있어 너무도 정겹다. 창밖의 전원마을 풍경, 빨래하는 마을의 여인들, 산타를 기다리며 잠든 아이들, 결혼식이나 마을 축제 행사……. 모지스 할머니가 그려낸 보통 사람들의 평범한 행복은 보는 이들에게 긴 여운을 준다. 그녀의 100번째 생일은 ‘모지스 할머니의 날’로 지정되어 전국에서 축하를 보냈고, 101세의 나이로 사망했을 때는 수많은 국민들이 슬퍼하는 가운데 존 F. 케네디 대통령이 ‘미국의 영혼이 사라졌다’며 추모하기도 했다. 모지스 할머니에 대한 미국인들의 존경과 사랑은 지금도 여전하다. 매년 크리스마스카드와 연하장에서 그녀의 그림을 볼 수 있고, 대표 작품은 120만 달러에 팔리기도 했다.",https://bookthumb-phinf.pstatic.net/cover/224/967/22496775.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22496775,"인간 승리의 모습을 진솔하게 그려낸 고품격 예술 에세이-너무 늦었다고 포기하는 삶에게 건네는 위로와 응원 《그림은 위로다》, 《명화 보기 좋은 날》 등의 미술 관련 책으로 많은 독자들과 그림 이야기를 나눠온 저자는 이 책에서 일생 동안 1,600여 점의 작품을 남긴 모지스 할머니의 성실한 삶을 담아냈다. 끝은 또 다른 시작이라는 진리를 일깨워준 인간 승리의 모습을 감성 어린 필치로 그려낸다. 시작이 힘이고, 계속하는 것은 더 큰 힘이다. 나이나 신분이나 현재 처한 환경에 관계없이 자신에게 주어진 조건을 받아들이고 하루하루 최선을 다하는 것, 그리고 자신이 좋아하는 일이 무엇인지 알고 그 일에 모든 것을 쏟는 삶. 저자는 모지스 할머니를 대신해서 그런 삶이야말로 진짜 인생이라고 말한다. 자신의 생일을 축하하기 위해 모여든 사람들에게 모지스 할머니가 한 말은 그녀가 그림을 통해 이 세상에 던지는 메시지이자, 저자가 이 책에서 말하려는 결론이기도 하다. “하고 싶은 일이 있으세요? 그럼 그냥 하시면 돼요. 삶은 우리가 만들어나가는 것이에요. 언제나 그랬고, 앞으로도 그럴 겁니다.”","그녀는 서툴지만 진심을 담아 그림을 그려나갔다. 자신이 살았던 농장의 모습, 마을 사람들의 일상, 마을 풍경을 화폭 곳곳에 채웠다. “나는 구석구석 그리는 것을 좋아합니다. 하늘에서부터 산까지, 그다음은 언덕까지, 그다음은 집과 성, 그리고 사람들까지 그리죠.”--- p.11엄마의 일몰 그림을 보면 왠지 뭉클하다. 쉰 살이 되어 뒤늦게 하고 싶었던 그림을 배운 엄마. 내 마음속 또 다른 모지스 할머니다. 목구멍까지 눈물이 차올라도 여전히 난 엄마에게 사랑한다는 말을 잘하지 못한다. 모지스 할머니의 그림과 함께하면서 나는 매일 엄마 품에 있는 기분이었다. --- p.161순간을 지배하는 것 중 하나가 그림이라는 생각을 한다. 자신이 경험하고 기억하는 순간을 화가는 그림이라는 행위로 지배하는 것이다. 그렇게 잊지 못하는 것과 잊지 않는 것은 비슷한 것 같아도 다르다. 잊지 못하는 것은 수동적이고, 잊지 않는 것은 능동적이다. 아마도 그녀는 숱하게 행해왔던 집안일의 소중함을 잊지 않기 위해 그림으로 그렸던 것은 아닐까? --- p.189모지스 할머니의 그림이 좋아 짝사랑하며 지낸 지가 꽤 되었다. 글쎄다. 그녀의 그림이 왜 좋은지 누군가 내게 묻는다면 나는 머뭇거릴 것이다. 그러다 몇 초 후 그냥 좋다고 말할 것이다. 이유가 없다. 그냥 좋다. 좋은 그림은 이 그림이 추상화인지 구상화인지, 구도가 어떻고 색감이 어떤지 해석하기도 전에 그냥 좋다. 보기만 해도 마음이 따뜻해지고 포근해지는 기분이다. 피곤한 날 보아도, 행복한 날 보아도, 슬픈 날 보아도 그녀의 그림은 늘 나를 와락 안아준다. --- p.216생각해보면 늘 마음이 불안할 때마다 나는 자꾸만 내가 사는 세상을 좁게 보았다. 내일이 오지도 않았는데 벌써부터 내일 걱정을 했고, 오지 않은 미래를 운운하며 두려움에 떨었다. 두려워하며 맞이하는 내일만큼 쓰디쓴 병은 없었다. 지난해를 아무리 망쳤다고 해도 새롭게 시작할 수 있는 새해가 있어서 좋은 것 아니었나. 아직 우리에게 새로운 시작은 남아 있다. --- p.218",예술/대중문화,미술,미술이야기
나는 친절한 죽음을 원한다 (죽음에 친절한 사회는 없다),박중철,홍익출판미디어그룹,9791191420746,"우리 사회 황폐한 죽음의 문화를 고발하면서삶만큼 죽음도 존중되는 세상을 제안하는 책1997년 보라매병원에 입원해 있던 중증 환자를 의료비 부담에 시달리던 부인의 요청으로 퇴원시켰다가 부인과 의료진이 살인치사와 살인방조죄로 형사 처벌받는 사건이 일어났다. 이후 병원마다 중증 환자의 퇴원을 억제하기 시작하면서 의료비 부담으로 자살하거나 가족이 환자의 연명의료장치를 제거하는 사건이 빈발하게 되었다. 우리나라 사람 4명 중 3명이 병원에서 죽는다. 병원이 명실상부 죽음의 공간이 된 것이다. 그러나 중증 환자 대부분이 죽음의 시간을 질질 끄는 연명의료의 지옥에 갇혀, 산 것도 죽은 것도 아닌 재앙을 겪다가 생애 동안 쓰는 의료비의 대부분을 마지막 1~2년 동안 쏟아붓다가 사망하게 된다. 죽음의 산업화라는 말이 여기서 나왔다.이제 화려한 장례식장은 있어도 임종실은 없는 병원의 불친절한 죽음의 시스템을 다시 생각할 때다. 나아가 인간에 대한 예의를 상실한 우리 사회 죽음의 문화를 돌아볼 때이기도 하다. 이를 위해 선행되어야 할 것은 지금까지 우리 사회가 철저히 배제시켰던 죽음에 관한 담론을 다시 삶의 공간으로 돌려놓고 현실의 문제로 이야기할 수 있어야 한다. 그래야만 생명에 대한 맹목적인 집착을 버리고 삶의 연장으로서의 좋은 죽음을 만들 수 있기 때문이다.  잘 죽는다는 것은 잘 사는 것의 연장선에 있다이제 삶의 완성으로서의 좋은 죽음을 이야기하자이 책은 시종 우리 사회 황폐한 죽음의 문화를 냉정하게 짚어내면서 왜 친절한 죽음이 모든 이의 목표가 되어야 하는지를 의학과 철학, 사회·역사적 근거들과 이론들을 통해 차례로 풀어내고 있다. 이를 통해 독자들은 잘 죽는다는 것이 잘 사는 것의 연장선상에 있다는 사실을 깨달으며 자기 삶의 옷깃을 여미게 된다. 20년 넘게 수많은 사망 환자 곁을 지켜온 의사로서, 저자는 삶만큼 죽음도 존중되는 세상을 만드는 일이야말로 품위 있고 건강한 사회로 가는 길이라고 말한다. 이에 따라 저자는 의과대학, 병원, 그리고 개인이 스스로 죽음에 대한 각박한 인식을 바꿀 수 있는 방법들을 차례로 제시하여 독자들의 공감을 이끌어 낸다. 삶은 자신의 정체성이 지켜지는 결말을 통해 온전히 완성될 수 있다. 그래서 모든 이에게는 자신의 삶을 정리할 수 있는 기회가 보장되어야 하는 것은 인권의 문제라고 할 수 있다. 독자들은 이 책을 통해 고통 없이 잘 죽을 수 있는 권리와 스스로 자기 죽음을 살아낼 수 있는 기회가 보장되는 삶을 소망하게 될 것이다.",https://bookthumb-phinf.pstatic.net/cover/223/010/22301055.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22301055,"우리 사회 황폐한 죽음의 문화를 고발하면서삶만큼 죽음도 존중되는 세상을 제안하는 책1997년 보라매병원에 입원해 있던 중증 환자를 의료비 부담에 시달리던 부인의 요청으로 퇴원시켰다가 부인과 의료진이 살인치사와 살인방조죄로 형사 처벌받는 사건이 일어났다. 이후 병원마다 중증 환자의 퇴원을 억제하기 시작하면서 의료비 부담으로 자살하거나 가족이 환자의 연명의료장치를 제거하는 사건이 빈발하게 되었다.  우리나라 사람 4명 중 3명이 병원에서 죽는다. 병원이 명실상부 죽음의 공간이 된 것이다. 그러나 중증 환자 대부분이 죽음의 시간을 질질 끄는 연명의료의 지옥에 갇혀, 산 것도 죽은 것도 아닌 재앙을 겪다가 생애 동안 쓰는 의료비의 대부분을 마지막 1~2년 동안 쏟아붓다가 사망하게 된다. 죽음의 산업화라는 말이 여기서 나왔다.이제 화려한 장례식장은 있어도 임종실은 없는 병원의 불친절한 죽음의 시스템을 다시 생각할 때다. 나아가 인간에 대한 예의를 상실한 우리 사회 죽음의 문화를 돌아볼 때이기도 하다. 이를 위해 선행되어야 할 것은 지금까지 우리 사회가 철저히 배제시켰던 죽음에 관한 담론을 다시 삶의 공간으로 돌려놓고 현실의 문제로 이야기할 수 있어야 한다. 그래야만 생명에 대한 맹목적인 집착을 버리고 삶의 연장으로서의 좋은 죽음을 만들 수 있기 때문이다.  잘 죽는다는 것은 잘 사는 것의 연장선에 있다이제 삶의 완성으로서의 좋은 죽음을 이야기하자이 책은 시종 우리 사회 황폐한 죽음의 문화를 냉정하게 짚어내면서 왜 친절한 죽음이 모든 이의 목표가 되어야 하는지를 의학과 철학, 사회·역사적 근거들과 이론들을 통해 차례로 풀어내고 있다. 이를 통해 독자들은 잘 죽는다는 것이 잘 사는 것의 연장선상에 있다는 사실을 깨달으며 자기 삶의 옷깃을 여미게 된다. 20년 넘게 수많은 사망 환자 곁을 지켜온 의사로서, 저자는 삶만큼 죽음도 존중되는 세상을 만드는 일이야말로 품위 있고 건강한 사회로 가는 길이라고 말한다. 이에 따라 저자는 의과대학, 병원, 그리고 개인이 스스로 죽음에 대한 각박한 인식을 바꿀 수 있는 방법들을 차례로 제시하여 독자들의 공감을 이끌어 낸다. 삶은 자신의 정체성이 지켜지는 결말을 통해 온전히 완성될 수 있다. 그래서 모든 이에게는 자신의 삶을 정리할 수 있는 기회가 보장되어야 하는 것은 인권의 문제라고 할 수 있다. 독자들은 이 책을 통해 고통 없이 잘 죽을 수 있는 권리와 스스로 자기 죽음을 살아낼 수 있는 기회가 보장되는 삶을 소망하게 될 것이다.",,인문,인문일반,교양인문
살며 사랑하며 배우며 (100쇄 기념 스페셜 에디션),레오 버스카글리아,홍익출판미디어그룹,9791197108617,"자기 삶에 대한 확신과 내일을 여는 지혜 그리고 사랑이 있는 삶세계인이 감동한 레오 버스카글리아 교수의 사랑학 특강이100쇄 기념 스페셜 에디션으로 다시 출간되었다.살아간다는 것은 죽음의 위험을 감수하는 일이고,희망을 갖는 것은 실망의 위험을 감수하는 일이다.시도를 한다는 것은 실패의 위험을 감수하는 일이고,모험을 하지 않는다면 아무것도 하지 않은 것과 같다.서던 캘리포니아 대학에서 18년 동안 교수로 재직했던 저자는 언제나 적극적이고 수업에도 충실했던 제자의 갑작스런 죽음 이후 젊은이들에게 생명의 중요성과 사랑의 기쁨을 가르쳐줄 필요성을 통감하고 ‘러브 클래스’라는 세미나를 시작했다. 자아실현과 사랑의 실천법에 대해 말하는 그의 강의는 곧 큰 호응을 얻기 시작했는데, 그 내용을 엮은 것이 바로 이 책이다. 삶을 살아가는 데 가장 중요한 요소인 사랑에 대해 강조하는 이 책 《살며, 사랑하며, 배우며》는 전 세계 20개국 이상에서 2천만 부 이상 판매되면서 큰 반향을 일으켰고, 뉴욕타임스 베스트셀러 목록에 최장기간 진입하는 진기록을 낳았다. 그중에서도 특히 미국인들에게 가장 큰 영향을 미친 책으로 꼽힌다. 동서양을 넘나드는 지혜의 경구들과 저자 자신의 체험을 녹여낸 이야기들을 읽다 보면 다른 사람과 함께 어울리며 서로 배우며 진정한 나 자신으로서 살아가는 인생을 배울 수 있다.어른이지만 아직 부족하다고 느끼고 있거나,교육자로서 가르치는 일이 쉽지 않다고 느끼는 선생님,사랑하지만 어떻게 표현하고 이해해야하는 지를 어려워하는 사람들에게《살며 사랑하며 배우며》는 따뜻한 조언을 아끼지 않는다. 누구보다도 무엇보다 자기 자신에 대한 진솔하게 ‘사랑’에 대해 이야기하는 저자의 웅변은 고독과 상실감에 시달리고 있는 현대인들에게 참삶의 길을 제시한다. 자기 자신만 생각하는 현대인들에게 사람은 살아가는 동안 늘 누군가를 사랑하고, 무언가를 배움으로써 진정한 행복을 느낄 수 있다는 것을 깨닫게 해준다",https://bookthumb-phinf.pstatic.net/cover/164/284/16428430.jpg,http://book.naver.com/bookdb/book_detail.php?bid=16428430,,,자기계발,성공/처세,
창업 & 프랜차이즈 2022.6,창업앤프랜차이즈 편집부,창업미디어그룹(월간지),9772093962008,『창업 & 프랜차이즈』는 창업인과 경영의 리더들이 찾는 전문 잡지다.,https://bookthumb-phinf.pstatic.net/cover/225/255/22525538.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22525538,,,잡지,인문/사회/종교,경제/경영
자신을 죽이지 말고 무기로 삼아라 (나에게 주어진 것을 무기 삼아 나답게 승부하는 자기다움의 행동학),세토 카즈노부,홍익출판미디어그룹,9791191420784,약점을 극복하려고 애쓰지 말고 자기만의 강점을 살려라!자신만의 것을 무기로 인생에 맞서는 〈자기다움의 행동학〉! 성공자란 자신이 가장 잘하는 분야에서 성취를 이뤄낸 사람들이다. 당신이 가장 잘하는 일은 무엇인가? 아무것도 잘하는 게 없다고 한탄하고 약점 많은 인생이라며 주저앉지 말고 자기가 가장 잘하는 것을 무기로 만들어 세상과 당당히 맞서라. 이것이 성공하는 사람들의 인생철학이다. 풍요롭고 충실한 인생을 살고 싶은가? 그렇다면 자신의 약점을 극복하기 위해 애쓰지 말고 자기만의 강점을 최대한 살려라! 약점을 뛰어넘기 위해 시간과 열정을 탕진하는 동안 과연 얼마나 성취감을 느낄 수 있을까? 약점을 극복하는 일은 아무리 노력해도 애쓴 만큼 성과가 나타나지 않는다. 그러니 인생을 뚫고 나가는 무기로 삼을 수 있는 자신만의 잠재능력을 키우는 데 힘을 쏟아야 한다.,https://bookthumb-phinf.pstatic.net/cover/224/580/22458031.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22458031,"일본 최고 능력개발 전문가가 전하는 성공의 법칙무기력한 삶을 살아온 우리에게 통렬한 깨달음을 준다자신이 정말로 바라는 것이나 마음속 감정, 본래의 기질을 당당히 표현하는 걸 회피하면 언젠가는 반드시 대가를 치른다. 무슨 어려움이 있어도 자기답게 살아야 한다는 얘기다. ‘진짜 나’를 버리고 ‘가짜 나’로 살아가는 사람들에게 일본 최고 능력개발 전문가가 전하는 성공 메시지! 책에는 자기인식에 필요한 5가지 마인드세트(mind-set)를 비롯한 다양한 훈련법과 저자가 글로벌 기업들에서 직접 체험한 성공 사례들이 실려 있어 살아 있는 인생 교과서 같은 역할을 한다. 남들과 비교하지 말고 자기답게 살자는 뜻의 〈자기다움의 성공학〉을 역설하는 작가의 웅변은 무기력한 삶을 살아온 우리에게 통렬한 깨달음을 준다.",,자기계발,성공/처세,
징비록 (역사를 경계하여 미래를 대비하라),류성룡,홍익출판미디어그룹,9791197224706,"“역사를 잊은 민족에게 미래는 없다.”우리 자신을 돌아보게 하는 ‘임진왜란 통한의 기록’《징비록(懲毖錄)》은 류성룡(柳成龍)이 집필한 임진왜란 전란사로, 역사적 참극을 통해 오늘을 사는 우리를 돌아보게 하는 통한의 기록이다. 류성룡은 7년여에 걸친 전란 동안 조선의 백성들이 겪어야 했던 참혹한 상황을 기록하고 일본의 만행을 성토하면서, 그러한 비극을 피할 수 없었던 조선의 문제점을 낱낱이 파헤친다. ‘징비(懲毖)’는 《시경(詩經)》에서 따온 말로 ‘지난 일을 경계하여 후환을 대비한다’는 뜻이다. 류성룡은 이 책을 통해 참혹했던 전쟁의 경위를 기록하는 데 그치지 않고 조선과 일본, 명나라 사이의 밀고 당기는 외교전, 전란으로 인한 백성의 피폐한 생활상, 전쟁에 나섰던 숱한 인물들의 처절한 활약상을 생생히 전한다. 여기다 민족적 재앙에 대비하지 못한 무능한 왕조와 전쟁 중에도 당파싸움을 멈추지 않은 벼슬아치들 등 당시 정치사회 상황까지 고발한다. 조선시대 최고의 기록문학 《징비록》다채로운 시각으로 풀어쓰고 편집하여 읽는 맛을 더하다! 이 책은 단순히 《징비록》의 원문을 한글로 옮기는 작업에 그치지 않았다. 철학, 역사학, 한문학, 일본학을 전공한 30~40대 소장학자들이 참여하여 젊은 언어로 풀어쓰고 편집하였다. 그리고 참고문헌과 사진자료, 지도, 도표 등을 망라함으로써 당시 상황을 더욱 생생하게 체험할 수 있게 한다. 여기에 더해, 사건의 맥락을 알게 하고 풍부한 독서를 도와주는 ‘징비록 깊이 읽기’, 류성룡의 일생과 임진왜란·정유재란의 전개와 흐름을 한눈에 짚어볼 수 있게 하는 연표, 인물의 등장과 스러짐, 인물 간의 관계를 한눈에 볼 수 있는 인물관계도, 마무리를 다시 한 번 훑어보게 하는 전투 일지 등 추가 항목들은 독자들에게 역사를 읽는 참맛을 선물한다.",https://bookthumb-phinf.pstatic.net/cover/171/341/17134107.jpg,http://book.naver.com/bookdb/book_detail.php?bid=17134107,"조선시대 최고의 기록문학 『징비록』다채로운 시각으로 풀어쓰고 편집하여 읽는 맛을 더하다! 이 책은 단순히 『징비록』의 원문을 한글로 옮기는 작업에 그치지 않았다. 철학, 역사학, 한문학, 일본학을 전공한 30~40대 소장학자들이 참여하여 젊은 언어로 풀어쓰고 편집하였다. 그리고 참고문헌과 사진자료, 지도, 도표 등을 망라함으로써 당시 상황을 더욱 생생하게 체험할 수 있게 한다. 여기에 더해, 사건의 맥락을 알게 하고 풍부한 독서를 도와주는 ‘징비록 깊이 읽기’, 류성룡의 일생과 임진왜란·정유재란의 전개와 흐름을 한눈에 짚어볼 수 있게 하는 연표, 인물의 등장과 스러짐, 인물 간의 관계를 한눈에 볼 수 있는 인물관계도, 마무리를 다시 한 번 훑어보게 하는 전투 일지 등 추가 항목들은 독자들에게 역사를 읽는 참맛을 선물한다.",,역사/문화,한국사,고중세사
"살인귀 2 (아야츠지 유키토 장편소설,역습편)",아야츠지 유키토,홍익출판미디어그룹,9791191420210,"일본추리작가협회상 수상 아야츠지 유키토의
극한 공포·극한 충격의 호러&미스터리 작품
슬래셔 문학의 극한!살인의 역습이 살인은 아니다.
살아도 산 것이 아닌 지옥을 맛본다.

《살인귀 1 - 각성편》에서 벌어진 후타바산의 참극으로부터 3년. 그 피비린내의 규모를 더욱 확대시키기 위해 살인귀가 산에서... ",https://bookthumb-phinf.pstatic.net/cover/206/338/20633867.jpg,http://book.naver.com/bookdb/book_detail.php?bid=20633867,,,,,
"살인귀 1 (각성편,아야츠지 유키토 장편소설)",아야츠지 유키토,홍익출판미디어그룹,9791191420203,"일본추리작가협회상 수상 아야츠지 유키토의
극한 공포·극한 충격의 호러&미스터리 작품
슬래셔 문학의 극한!“지하철에서 읽다가 토할 것 같아서 
중간에 내려 버렸다.” _독자 후기 중

어느 여름날 한 친목단체의 멤버들이 악마의 산으로 유명한 후타바산을 오르는 합숙 계획을 실행한다. 밤의 어둠 속... ",https://bookthumb-phinf.pstatic.net/cover/206/338/20633865.jpg,http://book.naver.com/bookdb/book_detail.php?bid=20633865,,,,,
전기차와 수소차 (월간) : 6월 [2022] (창간호),모빌리티미디어그룹(주) 편집부,모빌리티미디어그룹,9772799853006,"오늘날은 전 세계적으로 탄소중립 제로와 친환경차 시대로 접어들면서 전기차와 수소차가 자동차 시장을 이끌어 가고 있습니다.   이에 본지는 친환경차인 전기차와 수소차에 대한 시장동향과 기술정보, 제품소개, 업계뉴스, 해외소식 등을 신속 정확하게 전달하기 위해 탄생하게 되었습니다. 잡지에 실리는 내용이 전기차와 수소차는 물론 자율주행차, 도심항공모빌리티(USM), 로봇틱스, 인공지능(AI) 등 미래의 모빌리티에 대한 모든 것을 취재 및 편집 보도합니다.",https://bookthumb-phinf.pstatic.net/cover/225/019/22501951.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22501951,,,잡지,자연/공학,기계/자동차
