title,author,publisher,isbn,description,image,link
사춘기 대 갱년기,제성은,개암나무,9788968305726,"딸은 사춘기, 엄마는 갱년기
과연 잘 지낼 수 있을까?≪사춘기 대 갱년기≫는 사춘기와 갱년기를 지나고 있는 모녀의 이야기를 생생하게 다룬 작품입니다. 모든 일을 엄마 탓으로 돌리는 ‘사춘기 법칙’을 충실히 이행하는 딸 루나와, 갱년기라는 새로운 인생 굴곡을 만난 엄마의 이야기를 각자의 입장에서... ",https://bookthumb-phinf.pstatic.net/cover/162/383/16238347.jpg,http://book.naver.com/bookdb/book_detail.php?bid=16238347
사춘기 대 아빠 갱년기,제성은,개암나무,9788968306525,"이번엔 아빠에게 ‘그분’이 찾아왔다!
딸은 사춘기, 아빠는 갱년기!
우리 이대로 괜찮을까?

《사춘기 대 아빠 갱년기》는 독자들의 큰 공감을 이끌어 내며 많을 사랑을 받았던《사춘기 대 갱년기》의 두 번째 이야기입니다. 아직 한창 사춘기를 겪고 있는 주인공 루나가 학교에서는 친구와, 집에서는 갱년기에... ",https://bookthumb-phinf.pstatic.net/cover/207/650/20765042.jpg,http://book.naver.com/bookdb/book_detail.php?bid=20765042
고양이는 정말 액체일까? (생활 속 사례로 생생하게 배우는 과학),정윤선,개암나무,9788968307027,"우리 생활 곳곳에 숨어 있는과학 원리를 만나요!≪고양이는 정말 액체일까?≫는 아이들의 일상생활과 밀접한 관련이 있는 15가지 사례를 통해 어렵고 복잡한 과학 개념을 쉽고 재미있게 소개하는 지식 정보책입니다. 다양한 과학 용어를 이해하고, 과학적으로 탐구하는 자세를 기르도록 돕습니다. 식탁 위에... ",https://bookthumb-phinf.pstatic.net/cover/224/344/22434422.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22434422
우물 파는 아이들 (문학의 즐거움 37),린다 수 박,개암나무,9788992844741,"1990년대 후반의 딩카 족 소년 살바, 2000년대 초반의 누어 족 소녀 니아가 만났을 때!아이들이 문학을 즐겁게 여기도록 이끄는 「문학의 즐거움」 제37권 『우물 파는 아이들』. 2002년 고려청자 이야기를 담은 세 번째 장편동화 &lt;사금파리 한 조각&gt;으로 2002년 뉴베리 상을 수상한 한국계 미국인... ",https://bookthumb-phinf.pstatic.net/cover/068/824/06882492.jpg,http://book.naver.com/bookdb/book_detail.php?bid=6882492
우리는 보통 가족입니다,김응,개암나무,9788968306259,"이런 가족이 어디 있느냐고?&#x0D;바로 네 옆에 있어!&#x0D;&#x0D;《우리는 보통 가족입니다》는 우리 사회 속 다양한 형태의 가족과 가정 내 성역할에 대해 이야기하는 그림책입니다. 성 고정관념과 사회적 편견을 꼬집고, 나다움과 다양성이 존중받는 사회에 대해 생각해 보도록 돕습니다. &#x0D;&#x0D;이 그림책은... ",https://bookthumb-phinf.pstatic.net/cover/188/320/18832045.jpg,http://book.naver.com/bookdb/book_detail.php?bid=18832045
내 별명은 똥손,이나영,개암나무,9788968306273,반짝반짝 마법의 손톱 스티커로&#x0D;오늘부터 똥손 탈출!&#x0D;&#x0D;《내 별명은 똥손》은 손으로 하는 걸 잘 못 하는 주인공이 마법의 손톱 스티커를 붙이고 금손으로 거듭나며 벌어지는 이야기를 담은 동화입니다. 이 과정에서 나 자신을 사랑하는 법을 배웁니다. &#x0D;&#x0D;지안이의 별명은 ‘똥손’... ,https://bookthumb-phinf.pstatic.net/cover/204/581/20458146.jpg,http://book.naver.com/bookdb/book_detail.php?bid=20458146
"바람을 품은 집, 장경판전",조경희,개암나무,9788968305795,"작가는 세월의 손때가 가득 묻은 나무 기둥, 창살, 기와 등을 보며 그 안에 녹아 있는 삶과 노고 그리고 사람들에 대해 그려 보았습니다. 집을 지었을 목수, 돌을 다듬었을 석수, 하나하나 공들여 기와를 올렸을 제와장이 그리고 묵묵히 그들을 뒷바라지했을 사람들까지, 작가의 머릿속에 떠오른 이들은 지극히... ",https://bookthumb-phinf.pstatic.net/cover/163/475/16347591.jpg,http://book.naver.com/bookdb/book_detail.php?bid=16347591
"엄마, 나도 오늘부터 주식 투자 할래요!",이정주,개암나무,9788968306969,"무선 이어폰 사는 건 소비, 무선 이어폰 회사 주식 사는 건 투자!주식 매수 방법부터 주식을 대하는 올바른 마음가짐까지.주식에 대한 모든 것을 배워 봐요!≪엄마, 나도 오늘부터 주식 투자 할래요≫는 주식을 통해 경제 흐름을 배울 수 있는 책입니다. 주식의 원리와 다양한 투자 용어, 투자 방법, 올바른... ",https://bookthumb-phinf.pstatic.net/cover/213/986/21398647.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21398647
1+1이 공짜가 아니라고? (생활 속 사례로 생생하게 배우는 경제),이정주,개암나무,9788968304897,"생활 속 사례를 통해
잘 몰랐던 경제 개념이 머리에 쏙쏙!

≪1+1이 공짜가 아니라고?≫는 아이들과 밀접한 관련이 있는 생활 속 사례 열 가지를 통해 어렵고 복잡한 경제 개념을 쉽고 재미있게 소개하는 지식 정보책입니다. 다양한 경제 용어를 이해하고, 올바른 경제관념을 다잡는 데 도움을 줍니다.",https://bookthumb-phinf.pstatic.net/cover/143/006/14300670.jpg,http://book.naver.com/bookdb/book_detail.php?bid=14300670
"어서 와, 도서관은 처음이지?",이주희,개암나무,9788968307003,"나와 책을 이어 주는 특별한 공간,도서관에 놀러 가자!≪어서 와, 도서관은 처음이지?≫는 도서관을 낯설어하던 아이가 도서관의 새로운 모습을 알아 가는 과정을 그린 그림책입니다. 도서관의 책이 화자가 되어 도서관의 다양한 모습들을 소개하고, 책의 의미와 가치를 이야기합니다. 문화체육관광부가 조사한... ",https://bookthumb-phinf.pstatic.net/cover/223/144/22314448.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22314448
