title,author,publisher,isbn,description,image,link
영어 필사 100일의 기적,퍼포먼스 코치 리아,넥서스,9791166831515,하루 10분 영어 루틴&#x0D;100일 후면 당신의 삶이 변한다.  &#x0D;&#x0D;1. 영어 힐링 메시지를 매일 1장씩 필사한다. &#x0D;2. 무료로 제공된 원어민 mp3를 출·퇴근 길에 수시로 듣는다.&#x0D;&#x0D;당신은 당신 이야기의 영웅입니다. &#x0D;&#x0D;당신은 당신 이야기의 영웅입니다. 이 이야기에 악당은 없습니다.... ,https://bookthumb-phinf.pstatic.net/cover/212/558/21255846.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21255846
"하나님, 저 잘 살고 있나요? (충분히 빛나고 있는 당신을 위한 일상 묵상)",전대진,넥서스CROSS,9791166832130,"베스트셀러 작가이자 강연가, 기아대책희망대사 등 다양한 직책을 맡고 있는 저자가 6년간 기록한 예수동행일기를 엮었다. 여러 사람 앞에 서는 일이 많은 저자가 예수님과 동행한 내용을 기록한 궁극적인 이유는, 받은 은혜 자체를 기억하기 위함도 있지만 혹여나 살아낸 일에 살을 붙여 누군가에게 전하게 되지... ",https://bookthumb-phinf.pstatic.net/cover/214/715/21471597.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21471597
"오르막길 (문재인, 히말라야를 걷다)",탁재형,넥서스BOOKS,9791166832789,"험난한 오르막길을 묵묵히 그러나 끝까지 걸어간
문재인의 여정을 담은 히말라야 포토 에세이

문재인 그가 사랑하는 산, 사람, 대한민국...
대통령이 되기 전 문재인의 히말라야 트레킹에 동행하면서
그의 땀, 고뇌, 생각 등을 프레임에 담았다.

힘겨웠던 그날의 오르막길,
어쩌면 그보다 더 험난한 길을... ",https://bookthumb-phinf.pstatic.net/cover/224/251/22425196.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22425196
분실물 가게 2 (무엇이든 찾아드립니다),히로시마 레이코,넥서스Friends,9791166832529,"분실물 가게 주인, 햐쿠의 왼쪽 눈에는
다른 사람에게 보이지 않는 것들이 보인다?!

복잡한 사정이 있는 물건은 물론,
사람까지도 찾아 주는 ‘분실물 가게’를
운영하고 있는 햐쿠.

어느 날 그곳에 요괴 너구리
고게차마루가 굴러들어 온다.

잃어버린 기억, 유령이 떨어뜨린 비녀.
기묘한 의뢰에 숨겨진 잔혹한... ",https://bookthumb-phinf.pstatic.net/cover/223/617/22361794.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22361794
분실물 가게 1 (무엇이든 찾아드립니다),히로시마 레이코,넥서스Friends,9791166832512,"분실물 가게 주인, 햐쿠의 왼쪽 눈에는
다른 사람에게 보이지 않는 것들이 보인다?!

복잡한 사정이 있는 물건은 물론,
사람까지도 찾아 주는 ‘분실물 가게’를
운영하고 있는 햐쿠.

어느 날 그곳에 요괴 너구리
고게차마루가 굴러 들어온다.

잃어버린 기억, 유령이 떨어뜨린 비녀.
기묘한 의뢰에 숨겨진 잔혹한... ",https://bookthumb-phinf.pstatic.net/cover/223/617/22361793.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22361793
쉬운 단어로 1분 영어 말하기,에스텔,넥서스,9791190927116,"내 생각을 자유롭게 말하는 한국인 맞춤형 단계별 학습법!
정해진 상황 속에서 실제로 대화하듯이 원어민이 직접 생생하게 녹음한 음원을 들어 보세요.
쉬운 동사 7개로 하고 싶은 말의 30% 말하기
               ↓
디테일한 문장으로 나머지 70% 말하기
               ↓
1분 동안 하고 싶은 말 자유롭게... ",https://bookthumb-phinf.pstatic.net/cover/165/916/16591659.jpg,http://book.naver.com/bookdb/book_detail.php?bid=16591659
주식 단타로 매일매일 벌어봤어? (주린이를 위한 실전 단타 입문서),양선호,넥서스,9791166832116,"주린이를 위한 주식 단타 비법 A to Z
-매일 수익 내고 싶은 당신을 위한 단 권의 책!

아무 주식이나 사도 오르던 강세장은 끝났다!
약세장에서 수익 내려면 단타로 승부하라!

단타로 주식 리딩하며,
매일, 매주, 매월 수익 내는
실전 트레이더의 특급 노하우!",https://bookthumb-phinf.pstatic.net/cover/220/417/22041797.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22041797
한 권으로 초등수학 끝 (중등수학 전에 꼭 봐야 할 총정리!),류승재|안경수|정영수|김영조|박철,넥서스에듀,9791166831447,"초등학교 수학에서 알아야 할 
필수 개념을 모두 담았다.

▶ 초등수학의 영역별 흐름이 한눈에 보이는 체계적 구성
▶ 기본은 다지고 핵심은 확장하여 중등수학을 대비
▶ 개념 공부부터 오답 노트 작성까지 까먹지 않는 효율적인 학습법 소개!

기본 개념 이해 + 개념 확장 응용 = 수학 실력 향상
개념은 이해에서... ",https://bookthumb-phinf.pstatic.net/cover/211/442/21144247.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21144247
하루 1시간 현서네 유튜브 영어 학습법 (6개월부터 영어를 모국어처럼 습득하는),배성기,넥서스,9791191209020,"유튜브 영어 노출 3년 + 말하기 연습 1년
우리 아이도 영어로 자신감 있게 대화할 수 있어요우리 아이 영어가 고민이라면 오늘부터 하루 1시간, 유튜브로 학습하는 『현서네 유튜브 영어 학습법』. 부모 입장에서 아이들에게 유튜브와 같은 영상 매체를 보여 주는 것은 쉽지 않은 선택이다. 하지만 영상 매체에... ",https://bookthumb-phinf.pstatic.net/cover/175/263/17526318.jpg,http://book.naver.com/bookdb/book_detail.php?bid=17526318
"창의력을 채우는 놀이 수학 (도형 편,엄마랑 놀면서 키우는 수학 자신감)",장지은,넥서스,9791166831959,"엄마랑 놀면서 키우는 수학 자신감
창의력을 채우는 놀이 수학
〈도형편〉

 교육공학자가 연구한 놀이 학습 콘텐츠! 
▶ 손으로 만들어 체험하는 융합 수학 놀이
▶ 초등 수학 도형 교과과정 완벽 대비
▶ 입체도형 전개도를 한 번에 조립
▶ 카드 게임을 활용한 수학 용어 학습

1차원과 2차원 도형의 기본... ",https://bookthumb-phinf.pstatic.net/cover/213/784/21378444.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21378444
