title,author,publisher,isbn,description,image,link
나는 대출 없이 0원으로 소형 아파트를 산다 (300만 원으로 100억 자산을 이룬 부동산 소액투자의 기술),잭파시,다산북스,9791130689876,"“뜬구름 잡지 않는, 모자이크 처리 없는,적나라하고 현실적인 부동산 투자 공략집!”부동산 완판남 잭파시의 투자자들이 먼저 인정한 실전 투자 강의!절대로 손해 보지 않는 투자를 하려면 이 책을 펼쳐라!★★★ 10만 회원 〈부동산 스케치북〉 화제의 강의! ★★★★★★ 아파트 단지까지 알려주는 투자... ",https://bookthumb-phinf.pstatic.net/cover/223/495/22349595.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22349595
웰씽킹 (부를 창조하는 생각의 뿌리),켈리 최,다산북스,9791130677774,"10억 빚더미를 연매출 6,000억과 맞바꾼 부의 원리“왜 누구는 부자로, 누구는 빈자로 사는가? 그 모든 비밀은 웰씽킹에 있다!”가난했던 소녀공 시절부터 글로벌 기업 회장이 되기까지, 최상위 부자 켈리 최가 말하는 진정한 부에 대한 모든 것!『웰씽킹』. 지방의 가난한 농가에서 태어난 흙수저 중의... ",https://bookthumb-phinf.pstatic.net/cover/212/625/21262555.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21262555
럭키 드로우,드로우앤드류,다산북스,9791130679822,좋아하는 일로 경제적·시간적·정신적 자유를 얻은 상위 1% 밀레니얼 프리워커의 성장기“남을 위해 죽도록 일하는 대신 지금부터는 나를 위해 죽도록 일하기로 했다!”20대의 드로우앤드류가 끝이 보이지 않던 무기력을 빠져나와 30대가 되어 자신만의 일을 찾기까지 무수히 당겨온 ‘레버’들을 엮은 첫... ,https://bookthumb-phinf.pstatic.net/cover/214/336/21433662.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21433662
내가 같이 뛰어내려 줄게,씨씨코,다산북스,9791130688886,인생이 버거운 당신과 함께 울어주는씨씨코의 따뜻한 위로!친구가 요즘 힘들다고 했다. 삶의 이유를 잘 못 찾겠다고. 무엇을 위해 계속 살아야 하는지 의미 없는 하루하루를 보낸다고. 유일하게 하고 싶은 건 아무도 없는 무인도에 가서 하늘을 바라보다 조용히 세상에서 사라지는 거라며 당장 뛰어내리고 싶다고... ,https://bookthumb-phinf.pstatic.net/cover/222/927/22292749.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22292749
강성태 66일 영어회화 (당신의 영어가 습관이 되기에 충분한 시간),강성태,다산북스,9791130679006,"*전 국민 영어 입트기 66일 프로젝트*듣기를 못 해도 문법을 외우지 않아도영어회화의 99%가 해결된다!저자 강성태는 ‘빈부와 지역에 상관없이 대한민국 모든 학생에게 멘토를 한 명씩 만들어주겠다’는 사명으로 ‘공신닷컴’을 설립한 뒤, 이십년 가까이 무료로 공부법을 강의해오고 있는 자타공인 대한민국... ",https://bookthumb-phinf.pstatic.net/cover/213/763/21376360.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21376360
어떻게 살아야 하는가 (더 나은 내일을 꿈꾸는 당신이 반드시 물어야 할 삶의 의미),이나모리 가즈오,다산북스,9791130681207,"“거리의 탁발승으로 돌아간 살아 있는 경영의 신이 들려주는 삶과 경영에 대한 솔직한 이야기!” _매일경제신문대한민국 CEO들이 가장 존경하는 경영자,살아 있는 경영의 신 이나모리 가즈오가 성공을 꿈꾸는 당신에게 묻는다“당신은 지금 어떤 삶을 살고 있는가?하루하루의 삶을 통해 무엇이 되기를... ",https://bookthumb-phinf.pstatic.net/cover/222/085/22208529.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22208529
교양이 쌓일 만두 하지?,팀 교양만두,다산북스,9791130689807,"엉뚱한 질문들이 생활 밀착형 교양 지식으로!역사·과학·예술 상식이 저절로 쌓이는 S급 인문학구독자 62만, 누적 조회수 1억 2천만! 유튜브 최고의 역사·지식 교양 채널 〈교양만두〉의 첫 단행본이 출간됐다. 〈교양만두〉는 일상 속 엉뚱하고 사소한 질문들을 역사·과학·예술 상식으로 바꿔주며, 구독자들이... ",https://bookthumb-phinf.pstatic.net/cover/223/354/22335464.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22335464
대한민국 재건축 재개발 지도 (되는 곳만 골라 발 빠르게 투자하는),정지영,다산북스,9791130640600,"“청약은 문턱이 높고, 신축은 비싼 당신에게 ‘천국으로 가는 비상구’가 열렸다!”어려운 숫자 몰라도 복잡한 과정이 한눈에 펼쳐지는 세상에서 제일 쉬운 재건축·재개발 핵심 노하우청약 가점이 없어도 100% 새 아파트에 당첨되는 방법!_신축 공급 절벽 시대에 반드시 알아야 할 부동산 필수 지식“청약의... ",https://bookthumb-phinf.pstatic.net/cover/208/752/20875273.jpg,http://book.naver.com/bookdb/book_detail.php?bid=20875273
파리에서 도시락을 파는 여자 (최정상으로 가는 7가지 부의 시크릿),켈리 최,다산북스,9791130638287,"- [선데이 타임스] 발표 영국 부자 345위&#x0D;- 5년 연속 자기계발 스테디셀러 &#x0D;- 유튜브 600만 뷰 ‘인생 멘토’&#x0D;&#x0D;진정한 성공과 자유에 도달하는 『위대한 시크릿』의 살아 있는 실천법!&#x0D;“10억 빚더미에서 5000억 기업 CEO까지,&#x0D;내겐 딱 5년의 시간이 필요했다!”&#x0D;&#x0D;사업에 실패하고... ",https://bookthumb-phinf.pstatic.net/cover/206/574/20657405.jpg,http://book.naver.com/bookdb/book_detail.php?bid=20657405
왜 일하는가,이나모리 가즈오,다산북스,9791130637037,"삼성이 10년간 신입사원들에게 추천한 단 한 권의 책!
오늘도 습관처럼 출근하는 당신에게 묻는다
“당신은 어떤 일을 하는가? 그 일을 통해 무엇이 되려 하는가?”★ 전 세계 500만 부 판매 ★
★ 10년 만의 전면 개정 재출간 ★

10년 전 이 책을 읽고 삶이 바뀐 독자들의 서평
“사무실 서랍에 넣어두고 흔들릴... ",https://bookthumb-phinf.pstatic.net/cover/189/042/18904207.jpg,http://book.naver.com/bookdb/book_detail.php?bid=18904207
이토록 공부가 재미있어지는 순간 (공부에 지친 청소년들을 위한 힐링 에세이),박성혁,다산북스,9791130604626,"민사고 학생들이 ‘성경’처럼 반복해서 읽은 바로 그 책!

『이토록 공부가 재미있어지는 순간』 30만 부 판매 기념
MAGIC EDITION 출시!

★청소년 분야 최초 종합 베스트셀러 1위
★전국 서점 청소년 분야 최장기 스테디셀러 1위
★학교 선생님들이 직접 사서 읽어주는 공부법 바이블

“내 공부의 심장이 미친... ",https://bookthumb-phinf.pstatic.net/cover/087/365/08736562.jpg,http://book.naver.com/bookdb/book_detail.php?bid=8736562
나는 까칠하게 살기로 했다 (상처받지 않고 사람을 움직이는 관계의 심리학),양창순,다산북스,9791130690421,★ 50만 부 판매 기념 개정 증보판 ★★ O TVN 〈비밀독서단〉 자존감을 높여주는 책 TOP10 ★“뭐가 두려운 게 있으세요? 이젠 당신답게 사세요!”50만 독자의 인간관계를 구원한 정신건강의학과 전문의 양창순 박사의 심리학 처방2012년 출간 이후 50만 부 이상 판매된 인간관계 심리학 분야 최장기 스테디셀러... ,https://bookthumb-phinf.pstatic.net/cover/224/580/22458056.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22458056
왜 리더인가 (반세기 경영 끝에 깨달은 마음의 법칙),이나모리 가즈오,다산북스,9791130635873,"『왜 일하는가』 이후 이나모리 가즈오 경영 철학의 궁극에 도달한 유일한 책!
대한민국 CEO들이 가장 존경하는 경영자,
살아 있는 ‘경영의 신’ 이나모리 가즈오가 60년간 되뇐 성공의 주문
“오직 성공만 생각하고 성공할 것처럼 행동하라!”

★ LS그룹 구자열 회장, 우아한형제들 김봉진 의장이 가장... ",https://bookthumb-phinf.pstatic.net/cover/205/118/20511854.jpg,http://book.naver.com/bookdb/book_detail.php?bid=20511854
더현대 서울 인사이트 (사람들이 몰려드는 ‘페르소나 공간’의 비밀),김난도|최지혜|이수진|이향은,다산북스,9791130680750,"또한 저자의 전작인 『마켓컬리인사이트』(2020, 다산북스)가 온라인 기업의 생존전략을 제시한 것에 이어 더현대서울을 통해 오프라인 기업의 생존전략을 제언한다는 연구의 완결성도 갖는다. 시기상으로도 디지털시대 위기를 맞은 공간 비즈니스를 위한 경영 전략이 요청되고 있고, 아마존ㆍ쿠팡 등 온라인... ",https://bookthumb-phinf.pstatic.net/cover/220/180/22018008.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22018008
