title,author,publisher,isbn,description,image,link
제13회 젊은작가상 수상작품집 (2022),임솔아|김멜라|김병운|김지연|김혜진|서수진|서이제,문학동네,9788954685887,데뷔 십 년 이하의 작가들이 각자의 언어와 형식으로 일구어낸 아름다운 문학적 성취를 축하하고자 마련된 젊은작가상은 지난해까지 모두 54명에 이르는 새로운 얼굴을 소개하며 한국문학에 활기를 불어넣었다. 올해 젊은작가상에 이름을 올린 수상 작가는 임솔아 김멜라 김병운 김지연 김혜진 서수진... ,https://bookthumb-phinf.pstatic.net/cover/223/226/22322604.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22322604
여학교의 별 2,와야마 야마,문학동네,9788954685825,"전설의 1만 리트윗, SNS 화제의 그 만화『여학교의 별』 두 번째 이야기충격적으로 귀여운 선생님과 학생들의 지루할 틈 없는 유쾌한 티키타카!“이 학교, 다니고 싶다.”호시 선생님의 범상치 않은 졸업 사진은 도시 전설을 낳고,배구부 학생들을 위해 기념품 제작에 나선 고바야시 선생님은 의외의 재능을... ",https://bookthumb-phinf.pstatic.net/cover/224/234/22423447.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22423447
가라오케 가자!,와야마 야마,문학동네,9788954685696,"『빠졌어, 너에게』 『여학교의 별』 와야마 야마의 초기 걸작  2021년 〈이 만화가 대단하다!〉 여성편 5위,전설을 낳은 와야마 야마 유니버스의 시작!독설 노래 선생 사토미 X 꼴불견 가성의 쿄지, 회심의 한 곡을 위한 설레는 의기투합!  『가라오케 가자!』 .야쿠자 쿄지는 최근 고민이 깊다. 몸담고 있는 조직의... ",https://bookthumb-phinf.pstatic.net/cover/223/447/22344716.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22344716
H마트에서 울다,미셸 자우너,문학동네,9788954683371,"세계를 사로잡은 신예 록 뮤지션의가족, 음식, 슬픔과 사랑에 관한 강렬한 이야기미 전역을 사로잡은 화제의 베스트셀러『H마트에서 울다』는 인디 팝 밴드 재패니즈 브렉퍼스트의 보컬이자 한국계 미국인인 미셸 자우너의 뭉클한 성장기를 담은 에세이다. 출간 즉시 미국 서점가 베스트셀러에 오른 이 책은... ",https://bookthumb-phinf.pstatic.net/cover/220/358/22035864.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22035864
여학교의 별 1,와야마 야마,문학동네,9788954684316,"『빠졌어, 너에게』 와야마 야마의 첫 장편만화 2021년 〈이 만화가 대단해!〉 여성편 1위, 2022년 5위 연속 선정일본 누계 100만 부(2022년 1월 기준) 돌파“저 싫어하시죠? 폐만 끼치고, 늘 틱틱 대고.하지만… 그건 진짜 제가 아니에요.”또 한번 모두를 빠지게 할, 충격적으로 귀여운 선생님의... ",https://bookthumb-phinf.pstatic.net/cover/214/062/21406265.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21406265
밝은 밤 (최은영 첫 장편소설),최은영,문학동네,9788954681179,"『밝은 밤』은 그런 작가가 2020년 봄부터 겨울까지 꼬박 일 년 동안 계간 『문학동네』에 연재한 작품을 공들여 다듬은 끝에 선보이는 첫 장편소설로, 「쇼코의 미소」 「한지와 영주」 「모래로 지은 집」 등 긴 호흡으로 이야기를 이끌어가는 중편소설에서 특히 강점을 보여온 작가의 특장이 한껏 발휘된... ",https://bookthumb-phinf.pstatic.net/cover/207/539/20753912.jpg,http://book.naver.com/bookdb/book_detail.php?bid=20753912
오래되고 멋진 클래식 레코드,무라카미 하루키,문학동네,9788954685672,"“자랑할 정도는 아니지만, 이런 걸 모았답니다.”   60년째 지속가능한 취미생활의 결정체, 무라카미 하루키의 레코드장 엿보기본업인 소설가 외에도 사시사철 음악과 함께하는 애호가, 눈에 들어온 것은 저도 모르게 모아버리고 마는 수집가로도 유명한 무라카미 하루키가, 개인적으로 소장중인 아날로그... ",https://bookthumb-phinf.pstatic.net/cover/222/214/22221471.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22221471
저만치 혼자서 (김훈 소설),김훈,문학동네,9788954686921,"그가 『칼의 노래』 『현의 노래』 『남한산성』 등 한국문학의 대체 불가능한 명작 장편들을 연달아 발표하며 거장의 반열에 오른 이후로 계속해서... 출발했을 이 단편들은 작가의 일상이 소설의 바탕이 되고, 소설쓰기가 곧 작가의 일상이 되는 모습을 보여주며 문학 하는 행위 자체에 대한 감동을 불러일으킨다.",https://bookthumb-phinf.pstatic.net/cover/225/054/22505432.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22505432
작별하지 않는다 (한강 장편소설),한강,문학동네,9788954682152,"2019년 겨울부터 이듬해 봄까지 계간 『문학동네』에 전반부를 연재하면서부터 큰 관심을 모았고, 그뒤 일 년여에 걸쳐 후반부를 집필하고 또 전체를... 본래 「눈 한 송이가 녹는 동안」(2015년 황순원문학상 수상작), 「작별」(2018년 김유정문학상 수상작)을 잇는 ‘눈’ 3부작의 마지막 작품으로... ",https://bookthumb-phinf.pstatic.net/cover/208/836/20883676.jpg,http://book.naver.com/bookdb/book_detail.php?bid=20883676
훌훌,문경민,문학동네,9788954685030,"“과거를 싹둑 끊어 내면, 나의 내일은 가뿐할 텐데.”제12회 문학동네청소년문학상 대상 수상작 『훌훌』제12회 문학동네청소년문학상 대상 수상작. 과거와의 단절을 선언하며 독립을 꿈꾸던 열여덟 살 유리가 곁의 사람들과 연결되어 가는 과정을 그렸다. 주인공 유리의 한 계절을 함께하면서 우리는 자연히... ",https://bookthumb-phinf.pstatic.net/cover/214/806/21480672.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21480672
긴긴밤,루리,문학동네,9788954677158,"제21회 문학동네어린이문학상 대상 수상작 『긴긴밤』세상에 마지막 하나 남은 흰바위코뿔소와 코뿔소 품에서 태어난 어린 펭귄.  그땐 기적인 줄 몰랐다... _송수연(아동문학평론가) 세상에 마지막 하나 남은 코뿔소가 된다면, 소중한 이를 다 잃고도 ‘마지막 하나 남은 존재’의 무게를 온 영혼으로 감당해야... ",https://bookthumb-phinf.pstatic.net/cover/179/320/17932012.jpg,http://book.naver.com/bookdb/book_detail.php?bid=17932012
꽤 괜찮은 해피엔딩,이지선,문학동네,9788954686266,"『다시 새롭게, 지선아 사랑해』 그후 10년 삶의 잿더미 속에서 끌어안은 한 줄기 희망…삶은, 선물입니다『지선아 사랑해』로 40만 독자에게 희망을 전한 이지선이 약 10년 만에 돌아왔다. 스물세 살에 교통사고를 만나 전신 55퍼센트에 3도의 중화상을 입고 40번이 넘는 고통스러운 수술을 이겨내 ‘두번째... ",https://bookthumb-phinf.pstatic.net/cover/224/309/22430914.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22430914
