title,author,publisher,isbn,description,image,link
사인문화(2022년 6월호),편집부,에스엠미디어그룹,9771228023003,,https://bookthumb-phinf.pstatic.net/cover/225/053/22505376.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22505376
그랜마 모지스(개정판) (평범한 삶의 행복을 그리다),이소영,홍익출판미디어그룹,9791191420821,75세에 그림을 시작해 101세까지 활동한 ‘미국의 국민화가’ 그랜마 모지스의 삶과 그림 이야기-국내 최초 그랜마 모지스 재단과 그림저작권 독점 계약 출간!75세에 처음 그림을 시작하여 101세까지 살면서 ‘미국의 국민화가’로 존경받은 할머니가 있다. 전문적인 미술교육을 받지 않은 질박한 손으로... ,https://bookthumb-phinf.pstatic.net/cover/224/967/22496775.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22496775
나는 친절한 죽음을 원한다 (죽음에 친절한 사회는 없다),박중철,홍익출판미디어그룹,9791191420746,"우리 사회 황폐한 죽음의 문화를 고발하면서
삶만큼 죽음도 존중되는 세상을 제안하는 책

1997년 보라매병원에 입원해 있던 중증 환자를 의료비 부담에 시달리던 부인의 요청으로 퇴원시켰다가 부인과 의료진이 살인치사와 살인방조죄로 형사 처벌받는 사건이 일어났다. 이후 병원마다 중증 환자의 퇴원을... ",https://bookthumb-phinf.pstatic.net/cover/223/010/22301055.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22301055
살며 사랑하며 배우며 (100쇄 기념 스페셜 에디션),레오 버스카글리아,홍익출판미디어그룹,9791197108617,"자기 삶에 대한 확신과 내일을 여는 지혜 그리고 사랑이 있는 삶
세계인이 감동한 레오 버스카글리아 교수의 사랑학 특강이
100쇄 기념 스페셜 에디션으로 다시 출간되었다.

살아간다는 것은 죽음의 위험을 감수하는 일이고,
희망을 갖는 것은 실망의 위험을 감수하는 일이다.
시도를 한다는 것은 실패의 위험을... ",https://bookthumb-phinf.pstatic.net/cover/164/284/16428430.jpg,http://book.naver.com/bookdb/book_detail.php?bid=16428430
창업 & 프랜차이즈 2022.6,창업앤프랜차이즈 편집부,창업미디어그룹(월간지),9772093962008,『창업 & 프랜차이즈』는 창업인과 경영의 리더들이 찾는 전문 잡지다.,https://bookthumb-phinf.pstatic.net/cover/225/255/22525538.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22525538
자신을 죽이지 말고 무기로 삼아라 (나에게 주어진 것을 무기 삼아 나답게 승부하는 자기다움의 행동학),세토 카즈노부,홍익출판미디어그룹,9791191420784,약점을 극복하려고 애쓰지 말고 자기만의 강점을 살려라!자신만의 것을 무기로 인생에 맞서는 〈자기다움의 행동학〉! 성공자란 자신이 가장 잘하는 분야에서 성취를 이뤄낸 사람들이다. 당신이 가장 잘하는 일은 무엇인가? 아무것도 잘하는 게 없다고 한탄하고 약점 많은 인생이라며 주저앉지 말고 자기가 가장... ,https://bookthumb-phinf.pstatic.net/cover/224/580/22458031.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22458031
징비록 (역사를 경계하여 미래를 대비하라),류성룡,홍익출판미디어그룹,9791197224706,"“역사를 잊은 민족에게 미래는 없다.”
우리 자신을 돌아보게 하는 ‘임진왜란 통한의 기록’《징비록(懲毖錄)》은 류성룡(柳成龍)이 집필한 임진왜란 전란사로, 역사적 참극을 통해 오늘을 사는 우리를 돌아보게 하는 통한의 기록이다. 류성룡은 7년여에 걸친 전란 동안 조선의 백성들이 겪어야 했던 참혹한... ",https://bookthumb-phinf.pstatic.net/cover/171/341/17134107.jpg,http://book.naver.com/bookdb/book_detail.php?bid=17134107
"살인귀 2 (아야츠지 유키토 장편소설,역습편)",아야츠지 유키토,홍익출판미디어그룹,9791191420210,"일본추리작가협회상 수상 아야츠지 유키토의
극한 공포·극한 충격의 호러&미스터리 작품
슬래셔 문학의 극한!살인의 역습이 살인은 아니다.
살아도 산 것이 아닌 지옥을 맛본다.

《살인귀 1 - 각성편》에서 벌어진 후타바산의 참극으로부터 3년. 그 피비린내의 규모를 더욱 확대시키기 위해 살인귀가 산에서... ",https://bookthumb-phinf.pstatic.net/cover/206/338/20633867.jpg,http://book.naver.com/bookdb/book_detail.php?bid=20633867
"살인귀 1 (각성편,아야츠지 유키토 장편소설)",아야츠지 유키토,홍익출판미디어그룹,9791191420203,"일본추리작가협회상 수상 아야츠지 유키토의
극한 공포·극한 충격의 호러&미스터리 작품
슬래셔 문학의 극한!“지하철에서 읽다가 토할 것 같아서 
중간에 내려 버렸다.” _독자 후기 중

어느 여름날 한 친목단체의 멤버들이 악마의 산으로 유명한 후타바산을 오르는 합숙 계획을 실행한다. 밤의 어둠 속... ",https://bookthumb-phinf.pstatic.net/cover/206/338/20633865.jpg,http://book.naver.com/bookdb/book_detail.php?bid=20633865
전기차와 수소차 (월간) : 6월 [2022] (창간호),모빌리티미디어그룹(주) 편집부,모빌리티미디어그룹,9772799853006,"오늘날은 전 세계적으로 탄소중립 제로와 친환경차 시대로 접어들면서 전기차와 수소차가 자동차 시장을 이끌어 가고 있습니다.   이에 본지는 친환경차인 전기차와 수소차에 대한 시장동향과 기술정보, 제품소개, 업계뉴스, 해외소식 등을 신속 정확하게 전달하기 위해 탄생하게 되었습니다. 잡지에 실리는... ",https://bookthumb-phinf.pstatic.net/cover/225/019/22501951.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22501951
