title,author,publisher,isbn,description,image,link
최초의 질문 (기술 선진국의 조건),이정동,민음사,9788937442810,"기술 주권에 대한 이정동 교수의 통찰문제 해결자의 프레임에서 벗어나질문하라 ㆍ 설계하라 ㆍ 게임의 규칙을 만들라● 문제 해결자의 관행에서 벗어나 질문을 제시하라화이트 스페이스에서 찾은, 진정한 기술 선진국으로 가는 길한국은 1인당 국민소득 3만 달러를 넘어 개발도상국에서 선진국이 된 유일한... ",https://bookthumb-phinf.pstatic.net/cover/223/482/22348272.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22348272
공부의 위로 (글 쓰는 사람의 힘은 어디에서 오는가),곽아람,민음사,9788937442582,20년차 글 쓰는 직장인이 전하는 공부의 힘!“함께 읽는 연습이 지금 내 글쓰기의 힘이 되었다.”● 지금의 나를 지탱해 준 ‘서울대 교양수업’『공부의 위로』는 《조선일보》에서 여성으로서는 처음으로 출판팀장이 된 곽아람 기자가 대학 시절의 공부 여정을 되돌아보며 지금의 나를 지탱해 주는 것이... ,https://bookthumb-phinf.pstatic.net/cover/222/361/22236127.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22236127
젊은 ADHD의 슬픔 (정지음 에세이),정지음,민음사,9788937472114,"“모자람은 꽤 괜찮은 친구”라는 정지음의 말을 믿는다.
-문보영(시인·작가)

질병에 절망하여 주저앉기는커녕 
눈물에서 짠맛을 뽑아 배추라도 절일 기세다.
-이주현(『삐삐 언니는 조울의 사막을 건넜어』 저자)

*새하얀 밤과 깜깜한 낮을 살아가는
이들에게 건네는 다정한 안부 인사
*엉망진창 실수투성... ",https://bookthumb-phinf.pstatic.net/cover/206/773/20677338.jpg,http://book.naver.com/bookdb/book_detail.php?bid=20677338
유령의 마음으로 (임선우 소설집),임선우,민음사,9788937442698,"어느 날, 나와 꼭 닮았지만나보다 정확한 마음을 가진유령이 나타난다면신인 소설가 임선우의 첫 소설집 『유령의 마음으로』가 민음사에서 출간되었다. 한국문학을 사랑하는 독자라면 이미 임선우라는 이름과 마주한 기억이 있을 것이다. 2019년 《문학사상》 신인상을 수상하며 작품 활동을 시작한 임선우는... ",https://bookthumb-phinf.pstatic.net/cover/223/038/22303856.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22303856
아노말리 (L’Anomalie),에르베 르 텔리에 지음|이세진,민음사,9788937427220,"파리-뉴욕 간 여객기가 석 달이라는 시간 차를 두고 도플갱어처럼 똑같은 사람들을 싣고 동일 지점에서 난기류를 겪은 전대미문의 사건을 그린 2020년 공쿠르상 수상작 『아노말리』가 민음사에서 출간되었다. ‘아노말리’는 ‘이상’, ‘변칙’이라는 뜻으로, 주로 기상학이나 데이터 과학에서 ‘이상... ",https://bookthumb-phinf.pstatic.net/cover/224/657/22465775.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22465775
클라라와 태양,가즈오 이시구로,민음사,9788937417566,"2021년 3월 3일 영국에서 가장 먼저 출간된 이 책은 현재 30개국에 판권이 팔려 미국 캐나다 호주 일본 등에서 연달아 출간되고 있으며, 한국에서는 민음사를 통해 출간되었다.

전 세계 독자가 손꼽아 기다려 온 이번 작품 『클라라와 태양』은 인공지능 로봇과 한 소녀의 이야기를 담았으며, 출간 즉시 언론의... ",https://bookthumb-phinf.pstatic.net/cover/182/625/18262558.jpg,http://book.naver.com/bookdb/book_detail.php?bid=18262558
케이크와 맥주,윌리엄 서머셋 모옴,민음사,9788937463945,"달필의 감각으로 개인의 행복과 유희, 쾌락을 탐구한 서머싯 몸 실존 인물, 문단의 내막 적나라하게 묘사해 세간에 파장을 일으킨 풍자 소설 성공과 창작의 곡예에서 균형을 이루며 살아가는 방법은 무엇일까▶ 공포감이 점점 커져 갔다. 그것은 누가 봐도 나의 초상화였다. ─ 휴 월폴▶ 몸이 그려 낸 출세 지향적... ",https://bookthumb-phinf.pstatic.net/cover/209/240/20924027.jpg,http://book.naver.com/bookdb/book_detail.php?bid=20924027
인간 실격 (세계문학전집 103),다자이 오사무,민음사,9788937461033,"인간의 나약함을 탁월하게 묘사하는 다자이 오사무의 작품을 새롭게 읽는다. 순수하고 여린 심성의 젊은이가 인간 사회의 위선과 잔혹성을 견디지 못하고 파멸되어 가는 과정을 그린 소설로, 어느 세계에도 속하지 못한 채 인간 실격자로 전락한 주인공의 내면을 치밀한 심리묘사로 기록하였다. 다자이 작품 속의... ",https://bookthumb-phinf.pstatic.net/cover/001/510/00151055.jpg,http://book.naver.com/bookdb/book_detail.php?bid=151055
"보건교사 안은영 (정세랑 장편소설,특별판)",정세랑,민음사,9788937479953,"본격 학원 명랑 미스터리 소설
출간 5주년 & 영상화 기념 리커버 특별판 출간!2015년 12월에 출간되어 꾸준한 사랑을 받아 온 『보건교사 안은영』이 출간 5주년과 작품 영상화를 기념하여 ‘리커버 특별판’으로 출간되었다. 2010년 단편소설에서 탄생한 ‘안은영’이 ‘넷플릭스 오리지널 시리즈’의... ",https://bookthumb-phinf.pstatic.net/cover/166/875/16687560.jpg,http://book.naver.com/bookdb/book_detail.php?bid=16687560
참을 수 없는 존재의 가벼움 (국내 출간 30주년 기념 특별판),밀란 쿤데라,민음사,9788937437564,"대표작 『참을 수 없는 존재의 가벼움』의 국내 총 판매량 100만 부에 달하며, 민음사에서는 밀란 쿤데라 전집(총 15권)을 출간하기도 했다.  쿤데라를... 쿤데라 작품을 독점 계약, 출판하고 있는 민음사에서는 밀란 쿤데라 국내 소개 30주년을 맞아 『참을 수 없는 존재의 가벼움』 리뉴얼 판을 선보였다.... ",https://bookthumb-phinf.pstatic.net/cover/137/463/13746314.jpg,http://book.naver.com/bookdb/book_detail.php?bid=13746314
…스크롤! (정지돈 장편소설),정지돈,민음사,9788937473357,"“블랙박스를 만든 사람조차 블랙박스를 이해하지 못할 것이다.”가치 붕괴, 의미 부재, 창궐하는 음모론…미래는 다시 위대해질 수 있을까?소설가 정지돈의 신작 장편소설 『…스크롤!』이 민음사 [오늘의 젊은 작가 시리즈]로 출간되었다. 소설의 선형적인 전개 구조를 뒤섞고, 다종다양한 장르를 한 텍스트에... ",https://bookthumb-phinf.pstatic.net/cover/224/582/22458276.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22458276
전국축제자랑 (이상한데 진심인 K-축제 탐험기),김혼비|박태하,민음사,9788937413711,"에세이스트 김혼비, 박태하가 지역 축제에서 만난,
정말이지 좋아할 수밖에 없는 순간과 마음『전국축제자랑』이 민음사에서 출간되었다. 격월간 문학잡지 《릿터》에 같은 제목으로 연재되는 동안 폭넓은 지지와 열독이 이미 있었던바, 이후 꼭지를 추가하고 내용을 보강하여 나온 단행본에도 물론 관심과... ",https://bookthumb-phinf.pstatic.net/cover/180/338/18033842.jpg,http://book.naver.com/bookdb/book_detail.php?bid=18033842
브람스를 좋아하세요 (특별한정판),프랑수아즈 사강,민음사,9788937442322,"프랑스 현대 문학의 아이콘 프랑수아즈 사강의 대표작 『브람스를 좋아하세요...』의 특별 한정판. 사강은 열아홉에 발표한『슬픔이여 안녕』, 대표작『브람스를 좋아하세요...』등 사랑을 앞에 둔 남녀 간의 미묘한 심리를 그려 낸 작품들로 프랑스 문단의 총아로 떠올랐다. 

엄청난 양의 독서와 특유의 재기를... ",https://bookthumb-phinf.pstatic.net/cover/212/232/21223280.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21223280
페스트의 밤,오르한 파묵,민음사,9788937442568,“우리 도시에 결단코 전염병은 없소!”총독 사미 파샤는 말했다.…“그럼 누가 가져왔지요?”“지금 공식적으로 전염병은 없습니다!”노벨 문학상 수상 작가 오르한 파묵이 예견한 오늘날 전 지구의 전염과 혼란.세계적 거장이 써 내려간 팬데믹 시대 최초의 문학적 성취!『페스트의 밤』은 1901년 오스만... ,https://bookthumb-phinf.pstatic.net/cover/221/081/22108140.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22108140
동물농장 (세계문학전집 5),조지 오웰,민음사,9788937460050,1945년에 간행된 조지 오웰의 대표작. 어떤 농장의 동물들이 늙은 돼지 메이저의 부추김에 빠져 농장주의 압제에 대항해 반란을 일으켜 인간의 착취가 없는 `모든 동물이 평등한 이상사회`를 건설한다. 그러나 돼지들이 지도자가 되고 그 중에서도 힘이 세었던 스노볼을 돼지의 지도자 나폴레옹이 내쫓은... ,https://bookthumb-phinf.pstatic.net/cover/000/051/00005151.jpg,http://book.naver.com/bookdb/book_detail.php?bid=5151
여름,이디스 워튼,민음사,9788937463686,"─ 신시아 그리핀 울프(평론가)

/“사랑이 핏속에서 즐겁게 춤을 추는데 어디에서 태어났건, 누구의 자식이건 무슨 상관이란 말인가?”
─『여름』에서 /

여성 최초의 퓰리처상 수상 작가 이디스 워튼의 『여름』이 민음사 세계문학전집 368번으로 출간되었다. 1차 세계 대전이 막바지에 이르렀을 무렵, 피난민을... ",https://bookthumb-phinf.pstatic.net/cover/165/897/16589708.jpg,http://book.naver.com/bookdb/book_detail.php?bid=16589708
데미안 (세계문학전집 44),헤르만 헤세,민음사,9788937460449,데미안을 통해 참다운 어른이 되어 가는 소년 싱클레어의 이야기.한 폭의 수채화같이 아름답고 유려한 문체로 전세계인의 사랑을 받고 있는 작품. 감수성이 풍부한 주인공 싱클레어가 소년기에서 청년기를 거쳐 어른으로 자라가는 과정이 세밀하고 지적인 문장으로 그려져 있습니다. 진정한 삶에 대해 고민하고... ,https://bookthumb-phinf.pstatic.net/cover/000/051/00005186.jpg,http://book.naver.com/bookdb/book_detail.php?bid=5186
"시여, 침을 뱉어라",김수영,민음사,9788937464003,"진정한 예술 작품은 애수를 넘어선 힘의 세계다.”

김수영 시론집 『시여, 침을 뱉어라』가 민음사 세계문학전집 400번으로 출간되었다. 『시여, 침을 뱉어라』는 김수영이 쓴 시론과 문학론에 해당하는 산문만을 엮어 선보이는 산문집이다. 김수영이 시인들의 시인이자 문인들의 문인으로 손꼽히는 데에는 그가... ",https://bookthumb-phinf.pstatic.net/cover/214/992/21499204.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21499204
1984 (세계문학전집 77),조지 오웰,민음사,9788937460777,"『동물농장』과 함께 조지 오웰을 대표하는 작품으로, 전제주의라는 거대한 지배 시스템 앞에 놓인 한 개인이 어떻게 저항하다가 어떻게 파멸해 가는지, 그 과정과 양상, 그리고 배후를 적나라하게 보여주는 디스토피아 소설이다. 작품의 무대인 오세아니아는 전체주의의 극한적인 양상을 띠고 있는 나라.... ",https://bookthumb-phinf.pstatic.net/cover/001/256/00125627.jpg,http://book.naver.com/bookdb/book_detail.php?bid=125627
마음의 심연,프랑수아즈 사강,민음사,9788937442339,프랑스 현대 문학의 아이콘 프랑수아즈 사강미발표 유작 국내 최초 번역!사강의 아들 드니 웨스토프가 직접 찾아 엮어 낸 사강의 마지막 작품프랑스 현대 문학의 아이콘 프랑수아즈 사강의 미발표 유작 『마음의 심연』이 국내 초역으로 민음사에서 출간되었다. 사강은 열아홉에 발표한『슬픔이여 안녕』... ,https://bookthumb-phinf.pstatic.net/cover/212/232/21223289.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21223289
채근담,홍자성,민음사,9788937472411,"동양 최고의 지혜서 『채근담』 을 정본定本 정역定譯으로 만나다 『채근담』 번역사에 기점이 될 번역과 평역정본定本 정역定譯으로 다시 세운 『채근담』『채근담』은 명나라 말엽 1610년을 전후해 지어져 20세기 들어와 폭발적인 인기를 누리며 동양 최고의 지혜서, 처세와 수신의 고전이자 동양의... ",https://bookthumb-phinf.pstatic.net/cover/215/098/21509856.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21509856
디 에센셜 버지니아 울프,버지니아 울프,민음사,9788937472923,"이번 디 에센셜 시리즈 4종은 민음사 세계문학전집을 대표하는 작가를 선별한 만큼 세계문학전집 400권 출간과 맞추어 동시 출간되었으며, 정중원 작가의 초상 사진 이미지로 반양장의 세련되고 감각적인 표지 디자인을 연출했다. 표지를 감싸는 속표지 안쪽 표지에도 정중원 작가의 초상 사진을 전면에 반영하여... ",https://bookthumb-phinf.pstatic.net/cover/214/987/21498718.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21498718
노르웨이의 숲,무라카미 하루키,민음사,9788937434488,"1989년 『상실의 시대』라는 제명으로 처음 출간된 이래 우리 출판 사상 최장기 베스트셀러를 기록하며 하나의 사건으로 남은 소설, 『노르웨이의 숲』이 민음사 세계문학전집에 이어 단행본으로 출간되었다. &#x0D;&#x0D;1960년대 말 고도성장기 일본을 배경으로, 개인과 사회 사이의 금방이라도 무너질 듯한... ",https://bookthumb-phinf.pstatic.net/cover/124/287/12428742.jpg,http://book.naver.com/bookdb/book_detail.php?bid=12428742
나랑 하고 시픈게 뭐에여?,최재원,민음사,9788937409141,"제40회 김수영 문학상 수상작

가장 아득한 곳을 담아내는 표면,
탈피하고 부수어지는 몸의 시

제40회 김수영 문학상 수상 시집 『나랑 하고 시픈게 뭐에여?』가 ‘민음의 시’로 출간되었다.  김수영 시인 탄생 100주년을 맞아 한층 더 높아진 기대 속에서 진행된 김수영 문학상 심사는 예상과 달리 빠른 속도로... ",https://bookthumb-phinf.pstatic.net/cover/213/720/21372080.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21372080
월든,헨리 데이비드 소로,민음사,9788937463952,"정회성 역자의 번역 인생을 건 결실, 민음사 세계문학전집 『월든』 출간!&#x0D;&#x0D;시인, 에세이스트, 자연주의자, 생태 연구가 헨리 데이비드 소로가... 마하트마 간디, 로버트 프로스트, 마르셀 프루스트 등 전 세계 수많은 사상가와 문인에게 지대한 영향을 끼친 불멸의 고전 『월든』이 민음사... ",https://bookthumb-phinf.pstatic.net/cover/212/963/21296382.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21296382
