title,author,publisher,isbn,description,image,link
둥실이네 떡집 (만복이네 떡집 6),김리리,비룡소,9788949162188,"여울이와 둥실이를 도와줄 수 있는 떡을 알려 줘!누적 판매 100만 부(시리즈 전체)를 돌파하며 국내 창작 동화 시리즈의 새로운 기록을 써나가고 있는 「만복이네 떡집」 여섯 번째 이야기, 『둥실이네 떡집』이 비룡소에서 출간되었다. 초등학교 3학년 교과서에 수록된 『만복이네 떡집』 이후, 어린이 독자들의... ",https://bookthumb-phinf.pstatic.net/cover/223/646/22364685.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22364685
만복이네 떡집 (난 책읽기가 좋아 3단계 54),김리리,비룡소,9788949161341,"만복이는 부잣집 외동아들로 태어나서 부모님 할아버지, 할머니, 삼촌, 이모들의 사랑을 듬뿍 받으며 컸습니다. 키도 크고 얼굴도 잘 생기고 공부도 잘했습니다. 하지만 왜인지, 만복이는 항상 나쁜 말만 했습니다. 좋아하는 친구에게도 &quot;잘난척쟁이&quot;라고 하고 선생님한테도 화만 냈습니다. 그런 만복이의 눈앞에... ",https://bookthumb-phinf.pstatic.net/cover/062/895/06289560.jpg,http://book.naver.com/bookdb/book_detail.php?bid=6289560
장군이네 떡집 (만복이네 떡집 2),김리리,비룡소,9788949162041,"「만복이네 떡집」 시리즈 완간초등학교 3학년 국어 교과서 수록 도서로, 2010년 출간 이후 누적 20만 부가 판매된 『만복이네 떡집』의 후속작 『장군이네 떡집』과 『소원 떡집』이 비룡소에서 출간되었다.  『만복이네 떡집』은 마음과는 달리 입만 열면 나쁜 말과 행동이 튀어나와 욕쟁이, 심술쟁이로 불리던... ",https://bookthumb-phinf.pstatic.net/cover/163/412/16341237.jpg,http://book.naver.com/bookdb/book_detail.php?bid=16341237
달콩이네 떡집 (만복이네 떡집 5),김리리,비룡소,9788949162126,"누적 판매 80만 부를 돌파하며 저학년 동화의 새로운 기록을 써나가고 있는 「만복이네 떡집」 시리즈 다섯 번째 이야기, 『달콩이네 떡집』이 비룡소에서 출간되었다. 「만복이네 떡집」은 지난 8월 꼬랑지가 떡집의 문을 다시 열면서 시작된 새 시즌의 첫 권 『양순이네 떡집』 출간으로 2021년 한 해 동안만 55만... ",https://bookthumb-phinf.pstatic.net/cover/213/458/21345868.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21345868
한밤중 달빛 식당 (제7회 비룡소 문학상 수상작),이분희,비룡소,9788949161969,"『한밤중 달빛 식당』은 나쁜 기억으로 맛있는 음식을 사 먹는 ‘달빛 식당’을 중심으로 일어난 일을 담은 판타지 동화다. 신비롭고 매력적인 캐릭터, 나쁜 기억을 내면 맛있는 음식을 먹을 수 있는 식당이라는 독특한 설정은 호기심을 불러일으키며 이야기의 몰입도를 높인다. 연우가 초코시럽을 가득 얹은... ",https://bookthumb-phinf.pstatic.net/cover/134/248/13424876.jpg,http://book.naver.com/bookdb/book_detail.php?bid=13424876
오리 부리 이야기,황선애,비룡소,9788949162386,"2022 비룡소 문학상 수상작 이야기하기를 좋아하는 오리가 ‘말의 힘’을 깨닫게 되는 아주 특별한 모험 “너, 그거 확실한 말이니?”· 확인되지 않은... -심사평 중에서(강정연, 김리리, 김지은)제11회 비룡소 문학상을 수상한 황선애의 『오리 부리 이야기』가 출간되었다. 비룡소 문학상은 혼자 책 읽기를... ",https://bookthumb-phinf.pstatic.net/cover/223/063/22306390.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22306390
여름이 온다,이수지,비룡소,9788949114118,"-김지은(아동문학평론가)

한국을 넘어 전 세계 독자를 대상으로 활동을 하고 있는 이수지 작가의 신작이 ㈜비룡소에서 출간되었다. 이수지 작가는 『토끼들의 복수 La revanche des lapins』로 ‘스위스의 가장 아름다운 책’ 상을 받았으며, 『이상한 나라의 앨리스』는 영국 데이트 모던의 아티스트 북 콜렉션에... ",https://bookthumb-phinf.pstatic.net/cover/208/162/20816223.jpg,http://book.naver.com/bookdb/book_detail.php?bid=20816223
양순이네 떡집 (만복이네 떡집 4),김리리,비룡소,9788949162102,"초등학교 3학년 국어 교과서 수록 도서로, 2010년 출간 이후 누적 60만 부를 돌파한 「만복이네 떡집」 시리즈 네 번째 이야기, 『양순이네 떡집』이 비룡소에서 출간되었다. 지난해 김리리 작가는 10년 만에 만복이의 이야기를 이은 후속작 두 편 『장군이네 떡집』과 『소원 떡집』으로 어린이 독자들의 열띤... ",https://bookthumb-phinf.pstatic.net/cover/208/618/20861804.jpg,http://book.naver.com/bookdb/book_detail.php?bid=20861804
순례 주택 (블루픽션 시리즈 81),유은실,비룡소,9788949123493,"한국어린이도서상, IBBY 어너리스트 수상작가 유은실의 신작 청소년 소설『순례 주택』. 코믹 발랄한 캐릭터 설정과, 순례 주택을 둘러싼 한바탕 대소동은 기발하면서도 유쾌하다. 약간은 막 가는 수림이네 네 식구가 쫄딱 망한 뒤, 돌아가신 외할버지의 옛 여자친구의 빌라‘순례 주택’으로 이사 들어가면서... ",https://bookthumb-phinf.pstatic.net/cover/181/235/18123571.jpg,http://book.naver.com/bookdb/book_detail.php?bid=18123571
사이언스 2022 (내셔널지오그래픽 키즈),내셔널지오그래픽 키즈,비룡소,9788949132419,"2022년 한 해 동안 초등학생이 꼭 알아야 할 과학, 역사, 교양 토픽을 모은 『내셔널지오그래픽 키즈 사이언스 2022』이 ㈜비룡소에서 출간되었다. 이 책은 전 세계 28개국에서 23개 언어로 발간되는 최고의 다큐멘터리 매거진 「내셔널지오그래픽」의 어린이 책 출판 브랜드 ‘내셔널지오그래픽 키즈’의... ",https://bookthumb-phinf.pstatic.net/cover/212/913/21291368.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21291368
