title,author,publisher,isbn,description,image,link
놓아주는 엄마 주도하는 아이 (‘자기주도성’은 ‘성공 경험’으로 만들어진다),윌리엄 스틱스러드|네드 존슨,쌤앤파커스,9791165344719,"과열되는 경쟁, 게임과 SNS 중독, 불안과 스트레스…
흔들리는 아이에게 정말 필요한 것은 무엇일까?

아마존 베스트셀러 자녀교육서 1위!
《뉴욕타임스》, 《퍼블리셔스 위클리》, NPR 강력 추천!

‘과잉육아’의 시대에 필요한 ‘자기주도적’ 육아 바이블

4차 산업 혁명, AI 기술, 메타버스, NFT… 세상이 얼마나... ",https://bookthumb-phinf.pstatic.net/cover/215/125/21512528.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21512528
쥬비스 미라클 (쥬비스 다이어트는 어떻게 신화가 되었나?),조성경,쌤앤파커스,9791165344870,"매일 새로운 기적을 만들어내는 쥬비스 다이어트의 비밀‘아, 그 연예인 마케팅 잘하는 회사?’ ‘대기업도 다 손 털고 나간 다이어트 시장에서 십수 년째 1위 하는 회사?’ 쥬비스 다이어트에 대해 보통 이 정도는 알고 있다. 하지만 이 회사가 5,000만 원으로 창업해, 무려 5,000배 성장을 기록하고 2,500억... ",https://bookthumb-phinf.pstatic.net/cover/222/221/22222140.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22222140
굿모닝 해빗,멜 로빈스,쌤앤파커스,9791165345198,"매일 아침 3초의 행동이 당신의 뇌를 바꾸고 하루를 바꾸고 인생을 바꾼다!‘전 세계에서 강연 신청이 가장 빨리 마감되는 강사’, ‘매달 6,000만 명을 코칭하는 세계적인 라이프코치’ 멜 로빈스 신작 《굿모닝 해빗》은, 매일 아침 단 3초 만에 뇌를 바꾸고, 하루를 바꾸는 강력한 리추얼을 소개한다. 바로 눈... ",https://bookthumb-phinf.pstatic.net/cover/224/582/22458218.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22458218
바나나쌤의 1달 완성 영문법 1 (한 번 배우면 평생 써먹는),아티엔바나나,쌤앤파커스,9791165344788,바나나쌤!이런 바나나쌤도 한때는 세상에서 영어를 제일 싫어했던 영포자였다면 믿을 수 있겠는가? 자신도 영포자였기에 영어 공부라면 늘... 영어를 가장 빠르고 확실히 마스터하는 정답은 문법 공부라고 늘 강조해온 그는 지금까지 다져온 노하우와 강의 콘텐츠를 남김없이 쏟아부어 《바나나쌤의 1달... ,https://bookthumb-phinf.pstatic.net/cover/219/826/21982667.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21982667
읽는 인간 리터러시를 경험하라,조병영,쌤앤파커스,9791165344276,"문해력? 
이제는 맥락을 읽고 세상을 디자인하는
리터러시가 필요하다

EBS 〈당신의 문해력〉이 방송된 이후 ‘문해력’과 관련된 콘텐츠가 쏟아져 나오고 있다. 하지만 지금의 ‘문해력’은 공부를 잘하게 해 주는 능력, 자녀교육 필수 개념 정도로 알려져 있다. EBS 클래스e에서 〈당신의 문해력〉을 강의하며... ",https://bookthumb-phinf.pstatic.net/cover/212/878/21287860.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21287860
"이익이란 무엇인가? (가장 중요하지만, 가장 간과하는 경영의 제1원칙)",헤르만 지몬|유필화,쌤앤파커스,9791165344771,"“이익을 내서 망한 회사는 없다!”&#x0D;&#x0D;세계적인 경영 사상가이자 유럽의 피터 드러커로 불리는 헤르만 지몬 박사와 30년간 2,000회가 넘는 강연으로 10만 리더들을 열광시킨 경영 구루 유필화 성균관대 명예교수가 오랜 연구, 분석을 마치고 세상에 내놓은 역작이 바로 이 책 《이익이란 무엇인가?》이다.... ",https://bookthumb-phinf.pstatic.net/cover/215/078/21507821.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21507821
바나나쌤의 1달 완성 영문법 2 (한 번 배우면 평생 써먹는),아티엔바나나,쌤앤파커스,9791165344795,바나나쌤!이런 바나나쌤도 한때는 세상에서 영어를 제일 싫어했던 영포자였다면 믿을 수 있겠는가? 자신도 영포자였기에 영어 공부라면 늘... 영어를 가장 빠르고 확실히 마스터하는 정답은 문법 공부라고 늘 강조해온 그는 지금까지 다져온 노하우와 강의 콘텐츠를 남김없이 쏟아부어 《바나나쌤의 1달... ,https://bookthumb-phinf.pstatic.net/cover/219/826/21982692.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21982692
대한민국 금기 깨기 (미래로 가는 길에는 금기가 없다),김동연,쌤앤파커스,9791165343842,"김동연 전 부총리, 국가 비전과 미래 구상 담은 《대한민국 금기 깨기》 출간김동연 전 부총리가 대한민국을 위한 미래 제안을 담은 책 《대한민국 금기 깨기》를 출간했다. 책은 여수 안포마을 전어잡이 현장에서 만난 한 마을주민의 이야기로부터 시작된다.

늦은 밤 전어잡이 배를 타고 함께 바다로 나가기... ",https://bookthumb-phinf.pstatic.net/cover/207/562/20756295.jpg,http://book.naver.com/bookdb/book_detail.php?bid=20756295
"신의 비밀, 징조 (그 징조는 어떤 미래를 알려주는가?)",김승호,쌤앤파커스,9791165344351,"“큰 사건 앞에 큰 징조가 온다!”
20만 베스트셀러 《돈보다 운을 벌어라》 초운 김승호 작가 신작!

연예인들 사이에는 흔히 대박의 ‘징조’로 꼽히는 것이 많다. 예를 들어 가수가 무대 위에서 바지가 터지면 대박이 난다거나, 녹음실에서 귀신을 보면 그 앨범이 반드시 성공한다는 등이다. 한 유명배우는 집에... ",https://bookthumb-phinf.pstatic.net/cover/213/440/21344043.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21344043
부자들의 초격차 독서법 (부자들의 지식은 복리로 쌓인다),가미오카 마사아키,쌤앤파커스,9791165344283,"빌 게이츠, 일론 머스크, 워런 버핏의 공통점은 무엇일까? 누구나 알고 있듯, 이들은 모두 세계적인 부자들이다. 그리고 또 한 가지 중요한 공통점이 있다. 바로 지독한 ‘독서광’이라는 것. 말 그대로 ‘미친 듯이’ 책을 읽는 그들은 자신의 독서 습관이 부의 원천이었음을 늘 강조했다. 몸이 100개라도 부족한... ",https://bookthumb-phinf.pstatic.net/cover/213/058/21305897.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21305897
초격차 : 리더의 질문 (위기와 기회의 시대 기업의 길을 묻다),권오현,쌤앤파커스,9791165342159,"‘초격차 기업’을 향해 도전하는 기업 경영자와 조직의 리더들이 가장 궁금해하는 문제들에 대한 삼성전자 권오현 회장의 해법! 20만 부 이상 판매된 2018년작 『초격차』 이후, 리더들의 실질적 고민과 현실적 질문에 답하기 위해 삼성전자 권오현 회장이 2년간의 침묵을 깨고 다시 돌아왔다. 『초격차... ",https://bookthumb-phinf.pstatic.net/cover/166/554/16655437.jpg,http://book.naver.com/bookdb/book_detail.php?bid=16655437
시간은 흐르지 않는다 (우리의 직관 너머 물리학의 눈으로 본 우주의 시간),카를로 로밸리,쌤앤파커스,9788965708063,"양자중력 이론의 관점에서 바라본 시간에 관한 이야기!시간에 관한 우주의 거대한 이야기가 온전히 담겨 있는 『시간은 흐르지 않는다』. 양자중력 이론의 선구자이자 세계적인 물리학자 카를로 로벨리의 세 번째 책으로, ‘시간이란 도대체 무엇일까?’, ‘시간이 흐른다는 것은 실제로 어떤 의미일까?’... ",https://bookthumb-phinf.pstatic.net/cover/150/008/15000830.jpg,http://book.naver.com/bookdb/book_detail.php?bid=15000830
만약 시간이 존재하지 않는다면,카를로 로벨리,쌤앤파커스,9791165343422,"“만약 시간이 존재하지 않는다면,우리가 살고 있는 이 세상과 우주를 어떻게 이해할 수 있을까?”견고한 기존의 관념들을 뒤엎고‘시간 없이’세상을 바라보는 카를로 로벨리의 특별하고 감각적인 물리학 모험≪모든 순간의 물리학≫, ≪보이는 세상은 실제가 아니다≫, ≪시간은 흐르지 않는다≫로 우리에게... ",https://bookthumb-phinf.pstatic.net/cover/204/220/20422060.jpg,http://book.naver.com/bookdb/book_detail.php?bid=20422060
