title,author,publisher,isbn,description,image,link
설교 포인트 55 (목회자가 꼭 알아야 할),스콧 M. 깁슨,아가페출판사,9788953796577,"설교자의 영적 삶, 설교 방법, 설교 준비,설교자로서 역할, 청중에 대한 고려 등을 다룬 55개의 팁!성경 말씀을 설교하지 않는다면 설교할 것이 전혀 없다.다른 사람에게 설교하기 전에 자신에게 설교하라.‘여러분’보다 ‘우리’를 더 많이 설교하라! …설교자를 위한 열한 번째 계명이 있다. 바로 ‘명쾌하게... ",https://bookthumb-phinf.pstatic.net/cover/219/827/21982784.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21982784
새찬송가 성경전서 NKR62AS (합본/색인/PU),개역개정성경편찬위원회,아가페출판사,9788953722705,"- 폭신한 촉감의 PU소재의 표지&#x0D;- 파스텔톤의 컬러와 심플한 디자인&#x0D;- 고급스러운 금속지퍼 적용&#x0D;&#x0D;작고 가벼워 휴대성이 좋습니다.&#x0D;성경 크기 대비 가독성이 좋습니다.&#x0D;졸업, 생일 선물용으로 좋습니다.&#x0D;",https://bookthumb-phinf.pstatic.net/cover/163/839/16383918.jpg,http://book.naver.com/bookdb/book_detail.php?bid=16383918
"영어 성경 잠언 쓰기 (쉬운성경 NLT,영어로 쓰며 마음에 새기는 하나님의 말씀)",아가페출판사 편집부,아가페출판사,9788953796256,"또한 말씀의 의미를 이해하기 쉽도록, 아가페 쉬운성경을 함께 수록하였습니다.

* &lt;영어성경 잠언 쓰기&gt;의 특징
1. 성경: 쉬운 영어 성경인 NLT와 쉬운 한글 번역 성경인 쉬운성경이 수록되어 있습니다.
2. 필사 페이지: 유선 노트 위에 장ㆍ절ㆍ소제목이 표기되어 있습니다. 왼쪽페이지에 수록된 NLT... ",https://bookthumb-phinf.pstatic.net/cover/142/034/14203443.jpg,http://book.naver.com/bookdb/book_detail.php?bid=14203443
밑글씨 매일 쓰기성경 신약 3 (갈라디아서-요한계시록),쓰기성경편찬위원회,아가페출판사,9788953725119,"*저작권 등록이 되어 있는 편집 저작물입니다.&#x0D;&#x0D;성경 본문이 밑글씨로 되어 있어, 성경 대조 없이&#x0D;언제 어디서나 편리하게 쓸 수 있는 『밑글씨 매일 쓰기성경』&#x0D;&#x0D;[특징]&#x0D;&#x0D;-장, 절이 표기되어 있어 원하는 부분을 자유롭게 선택, 이동하며 쓸 수 있습니다.&#x0D;-밑글씨가... ",https://bookthumb-phinf.pstatic.net/cover/225/057/22505707.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22505707
밑글씨 매일 쓰기성경 구약 9 (에스겔-말라기),쓰기성경편찬위원회,아가페출판사,9788953725096,"*저작권 등록이 되어 있는 편집 저작물입니다.&#x0D;&#x0D;성경 본문이 밑글씨로 되어 있어, 성경 대조 없이&#x0D;언제 어디서나 편리하게 쓸 수 있는 『밑글씨 매일 쓰기성경』&#x0D;&#x0D;[특징]&#x0D;&#x0D;-장, 절이 표기되어 있어 원하는 부분을 자유롭게 선택, 이동하며 쓸 수 있습니다.&#x0D;-밑글씨가... ",https://bookthumb-phinf.pstatic.net/cover/225/057/22505705.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22505705
밑글씨 매일 쓰기성경 신약 2 (사도행전-고린도후서),쓰기성경편찬위원회,아가페출판사,9788953725102,"*저작권 등록이 되어 있는 편집 저작물입니다.&#x0D;&#x0D;성경 본문이 밑글씨로 되어 있어, 성경 대조 없이&#x0D;언제 어디서나 편리하게 쓸 수 있는 『밑글씨 매일 쓰기성경』&#x0D;&#x0D;[특징]&#x0D;&#x0D;-장, 절이 표기되어 있어 원하는 부분을 자유롭게 선택, 이동하며 쓸 수 있습니다.&#x0D;-밑글씨가... ",https://bookthumb-phinf.pstatic.net/cover/225/057/22505706.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22505706
밑글씨 매일 쓰기성경 구약 8 (이사야-예레미야애가),쓰기성경편찬위원회,아가페출판사,9788953725089,"*저작권 등록이 되어 있는 편집 저작물입니다.&#x0D;&#x0D;성경 본문이 밑글씨로 되어 있어, 성경 대조 없이&#x0D;언제 어디서나 편리하게 쓸 수 있는 『밑글씨 매일 쓰기성경』&#x0D;&#x0D;[특징]&#x0D;&#x0D;-장, 절이 표기되어 있어 원하는 부분을 자유롭게 선택, 이동하며 쓸 수 있습니다.&#x0D;-밑글씨가... ",https://bookthumb-phinf.pstatic.net/cover/225/057/22505703.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22505703
밑글씨 매일 쓰기성경 구약 2 (민수기-룻기),쓰기성경편찬위원회,아가페출판사,9788953725027,"*저작권 등록이 되어 있는 편집 저작물입니다.&#x0D;&#x0D;성경 본문이 밑글씨로 되어 있어, 성경 대조 없이&#x0D;언제 어디서나 편리하게 쓸 수 있는 『밑글씨 매일 쓰기성경』&#x0D;&#x0D;[특징]&#x0D;&#x0D;-장, 절이 표기되어 있어 원하는 부분을 자유롭게 선택, 이동하며 쓸 수 있습니다.&#x0D;-밑글씨가... ",https://bookthumb-phinf.pstatic.net/cover/225/056/22505691.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22505691
밑글씨 매일 쓰기성경 구약 6 (에스라-욥기),쓰기성경편찬위원회,아가페출판사,9788953725065,"*저작권 등록이 되어 있는 편집 저작물입니다.&#x0D;&#x0D;성경 본문이 밑글씨로 되어 있어, 성경 대조 없이&#x0D;언제 어디서나 편리하게 쓸 수 있는 『밑글씨 매일 쓰기성경』&#x0D;&#x0D;[특징]&#x0D;&#x0D;-장, 절이 표기되어 있어 원하는 부분을 자유롭게 선택, 이동하며 쓸 수 있습니다.&#x0D;-밑글씨가... ",https://bookthumb-phinf.pstatic.net/cover/225/057/22505719.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22505719
밑글씨 매일 쓰기성경 구약 7 (시편-아가),쓰기성경편찬위원회,아가페출판사,9788953725072,"*저작권 등록이 되어 있는 편집 저작물입니다.&#x0D;&#x0D;성경 본문이 밑글씨로 되어 있어, 성경 대조 없이&#x0D;언제 어디서나 편리하게 쓸 수 있는 『밑글씨 매일 쓰기성경』&#x0D;&#x0D;[특징]&#x0D;&#x0D;-장, 절이 표기되어 있어 원하는 부분을 자유롭게 선택, 이동하며 쓸 수 있습니다.&#x0D;-밑글씨가... ",https://bookthumb-phinf.pstatic.net/cover/225/056/22505699.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22505699
