title,author,publisher,isbn,description,image,link
"아들아, 돈 공부해야 한다 (10만 부 기념 골드 에디션)",정선용,알에이치코리아,9788925578354,"직장에서 시작해 부자로 은퇴하는 돈 공부 “직원으로 시작해라. 그러나 직원으로 살지 마라”151만 ‘부동산 스터디’ 카페가 애타게 기다린 책이자, 수많은 독자들의 사랑을 받은 베스트셀러 《아들아, 돈 공부해야 한다》 10만 부 기념 골드 에디션이 출간되었다. 《아들아, 돈 공부해야 한다》는 50억... ",https://bookthumb-phinf.pstatic.net/cover/223/615/22361561.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22361561
나는 주식 대신 달러를 산다 (성공률 100% 투자자의 기발한 파이프라인),박성현,알에이치코리아,9788925588636,"“주식보다 쉽고, 부동산보다 안전하다!”투자는 기본적으로 가치 있는 자산이 그 대상이다. 가치 있는 자산은 인플레이션에 의해 시간이 흐를수록 그 가격이 상승하기 때문이다. S전자 주식이나 강남의 아파트 역시 현시점 높은 가격에 거래되고 있지만, 그 자체가 절대적 가치를 품고 있다고는 할 수 없다.... ",https://bookthumb-phinf.pstatic.net/cover/205/512/20551221.jpg,http://book.naver.com/bookdb/book_detail.php?bid=20551221
문해력 수업 (평생 공부의 기초 체력을 키우는),전병규,알에이치코리아,9788925579870,"총 조회수 150만 유튜버 ‘콩나물쌤’의 신작
“문해력의 차이는 곧 성적의 차이!” 
어떤 텍스트도 단숨에 이해할 힘을 기르는 법20년 차 초등 교사이자 두 아이의 아빠, 유튜버 ‘콩나물쌤’으로 잘 알려진 전병규 작가가 『문해력 수업』을 출간했다. 교사로 발령받은 초창기부터 저자는 아무리 열심히 가르쳐도... ",https://bookthumb-phinf.pstatic.net/cover/207/909/20790928.jpg,http://book.naver.com/bookdb/book_detail.php?bid=20790928
신비 4~5(완결) 스페셜 패키지(전2권),반지,알에이치코리아,9788925578262,"“내가 누구였는지 깨닫게 만든 건이번에도 네 그림이었어.”몽환적인 그림체와 이야기로 사랑받은 네이버 인기 웹툰 〈신비〉! 단행본 완간을 기념해, 독자의 사랑에 보답하고자 한정판 스페셜 패키지가 출간됐다. 프롤로그부터 후기까지, 단 한 편도 평점 9.9점을 놓치지 않았던 〈신비〉는 매 단행본 출간... ",https://bookthumb-phinf.pstatic.net/cover/224/967/22496749.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22496749
요즘 애들 (최고 학력을 쌓고 제일 많이 일하지만 가장 적게 버는 세대),앤 헬렌 피터슨,알에이치코리아,9788925579313,"“평생 트랙 위를 쉼 없이 달려왔지만 우리는 늘 게으르고, 부족하고, 이기적인 애들이었다.”부모처럼 살기 싫지만 부모만큼 되기도 어려운 세대, 밀레니얼MILLENNIAL. 그들은 ‘이번 생은 망했다’면서도 탈진 직전까지 일에 몰두하고, 필패하도록 설계된 체제에서 ‘졌지만 잘 싸웠다’며 자조한다.... ",https://bookthumb-phinf.pstatic.net/cover/211/543/21154376.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21154376
프로젝트 헤일메리,앤디 위어,알에이치코리아,9788925588735,"“이름도 기억 못하는 내가 인류의 희망이라니?”
멸망 위기의 지구 구하기 프로젝트!‘헤일메리HAIL MARY’는 미식축구 용어로, 경기 막판에 역전을 노리고 하는 패스에서 유래한 말이다. 작품 속 우주선의 이름인 ‘헤일메리호’도 지구를 종말로부터 구하기 위한 마지막 역전을 바라는 마음에 지어졌다.... ",https://bookthumb-phinf.pstatic.net/cover/204/220/20422096.jpg,http://book.naver.com/bookdb/book_detail.php?bid=20422096
투자의 신 (절대로 잃지 않는),박성현,알에이치코리아,9788925578385,"“당신은 돈에 인생을 걸 수 있는가?”볼펜 한 자루로 30억 자산가가 된 남자의 이야기베스트셀러 작가 박성현의 투자 소설《아빠의 첫 돈 공부》, 《나는 주식 대신 달러를 산다》를 쓴 박성현 작가의 투자 소설. 실제 도박에서 돈의 진리를 배우고 주식과 부동산, 달러를 수단으로 투자하면서 ‘달러 리치 앱’을... ",https://bookthumb-phinf.pstatic.net/cover/224/476/22447648.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22447648
"백만장자 시크릿 (부를 끌어당기는 17가지 매뉴얼,Secrets of Millionaire mind)",하브 에커,알에이치코리아,9788925536927,"아마존 최장기 베스트셀러
10년간 부자 마인드의 바이블로 극찬이 쏟아진 책
200만 명을 부자 반열로 올린 하브 에커의 저력을 확인하라!《백만장자 시크릿》(원제 : SECRETS OF MILLIONAIRE MIND)은 부자 마인드의 바이블로 통하며, 많은 이들의 찬사를 받았다. 특히 “월급 200만 원 인생을 끝내준 책” (유튜버... ",https://bookthumb-phinf.pstatic.net/cover/164/058/16405895.jpg,http://book.naver.com/bookdb/book_detail.php?bid=16405895
프리워커스 (일하는 방식에 질문을 던지는 사람들),모빌스 그룹,알에이치코리아,9788925588667,"일하는 방식에 질문을 던지는 사람들, 프리워커스나다운 일의 방식을 찾고, 유쾌하게 일하는 방법‘일’에 대해 오랫동안 고민해 온 사람이라면 주목해야 할 책이 출간됐다. 일하는 사람들을 위한 날, 노동절을 앞두고 출간되는 《프리워커스》다. 이 책은 지금처럼 일해도 괜찮을지, 일의 다음을 고민하고... ",https://bookthumb-phinf.pstatic.net/cover/204/220/20422056.jpg,http://book.naver.com/bookdb/book_detail.php?bid=20422056
두 번째 지구는 없다,타일러 라쉬,알에이치코리아,9788925556253,"“환경을 말하지 않고는 누구도 잘 살 수 없다”
‘언어 천재’ 타일러가 기후위기를 말하는 이유방송계의 대표적인 ‘언어 천재’, ‘뇌섹남’으로 통하는 타일러 라쉬의『두 번째 지구는 없다』. 기후위기 해결은 타일러의 오랜 꿈으로, 환경은 그가 오랫동안 품어온 화두다. 타일러는 2016년부터 WWF... ",https://bookthumb-phinf.pstatic.net/cover/164/163/16416338.jpg,http://book.naver.com/bookdb/book_detail.php?bid=16416338
혼자와 함께 사이 (좋은 사람과 오래가고 싶어서),최유나,알에이치코리아,9788925578668,"유퀴즈온더블록〉 〈세바시〉 최유나 변호사의 관계 에세이“내가 혼자 있는 것을 좋아하는 이유는사람이 싫어서가 아니라 사람이 너무 좋아서.사람과 잘 지내고 싶어서.”우리가 지금껏 겪은 만남과 이별은 모두 어떤 얼굴이었을까. 때론 환하기도, 때론 일그러지기도 했을 그 얼굴을 가장 가까이에서 누구보다... ",https://bookthumb-phinf.pstatic.net/cover/223/303/22330354.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22330354
월급쟁이 부자로 은퇴하라 (3년 만에 30년 치 연봉을 번 김 과장의 시스템 마련법),너나위,알에이치코리아,9788925566511,"살아갈 날은 점점 길어지는데 직장에서 일할 수 있는 날은 더욱 짧아지는 시대, 당신은 무엇을 준비하고 있는가? 이 책은 국가도 회사도 책임져주지 않는 현실을 자각한 평범한 월급쟁이가 치열하게 공부하고 공격적으로 투자해, 100억 자산가로 거듭날 수 있었던 ‘부동산 투자’ 비결을 공개한다.... ",https://bookthumb-phinf.pstatic.net/cover/148/638/14863887.jpg,http://book.naver.com/bookdb/book_detail.php?bid=14863887
"무기력이 무기력해지도록 (게으름, 우울증, 번아웃의 심리학)",한창수,알에이치코리아,9788925579863,"“쉬어도 피곤합니다. 결심해도 그때뿐입니다.”KBS1 〈명견만리〉, JTBC 〈차이 나는 클라스〉 고려대 한창수 교수의 무기력 명강의*** 건국대 하지현 교수, 유튜브 〈닥터프렌즈〉 오진승 원장, 밑미 손하빈 대표 강력 추천 ***“밖에 못 나가니까 자꾸 늘어져.” “할 건 많은데 하기 싫어.” “어차피 안 될... ",https://bookthumb-phinf.pstatic.net/cover/208/451/20845158.jpg,http://book.naver.com/bookdb/book_detail.php?bid=20845158
신비 3,반지,알에이치코리아,9788925578873,"“부족한 것투성이더라도절대 부서지지 않을 만큼 단단해지는 우리이길….”출간 즉시 분야 베스트셀러네이버 웹툰 〈신비〉 단행본 3권 출간!마침내 연애를 시작한 가람과 신비! 신비는 가람과 함께 지내기 위해 애쓰는 가운데, 가람은 신비 앞에서 떨리는 마음을 주체할 수 없어 모든 게 조심스럽기만 하다.... ",https://bookthumb-phinf.pstatic.net/cover/214/023/21402382.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21402382
"규칙 없음 (넷플릭스, 지구상 가장 빠르고 유연한 기업의 비밀)",리드 헤이스팅스|에린 마이어,알에이치코리아,9788925599632,"“통제와 규정은, 무능력한 직원에게나 필요한 것!”
| 넷플릭스 CEO 리드 헤이스팅스의 첫 책 |넷플릭스 CEO 리드 헤이스팅스의 첫 책『규칙 없음』. 1997년 설립 당시, 넷플릭스는 우편으로 DVD를 대여해 주는 회사에 불과했다. 그러나 2020년 현재는 한국을 포함해 190여 개국 전 세계인에게 즐거움을 선사하며... ",https://bookthumb-phinf.pstatic.net/cover/166/287/16628720.jpg,http://book.naver.com/bookdb/book_detail.php?bid=16628720
신비 5 (완결),반지,알에이치코리아,9788925578279,"“내가 가장 사랑한,앞으로도 가장 사랑할 그런 꿈.고마워. 나의 꿈, 나의 신비.” 출간 즉시 분야 베스트셀러네이버 웹툰 〈신비〉의 마지막 이야기가 담긴 단행본 5권 출간!드디어 가람의 앞에도 모습을 드러낸 긴 머리의 사내. 가람과 그 둘 사이엔 신비를 두고 아슬아슬한 긴장감이 감돌지만, 가람은 신비를... ",https://bookthumb-phinf.pstatic.net/cover/224/967/22496748.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22496748
신비 4,반지,알에이치코리아,9788925578330,"“너와 함께 살아갈 수 있다면…영영 그 빛 아래 머문다 해도 상관없을 것 같아.” 출간 즉시 분야 베스트셀러네이버 웹툰 〈신비〉 단행본 4권 출간!가람은 신비와 오래 함께할 꿈을 꾸며, 생계를 위해 일을 시작한다. 자연스레 혼자 보내는 시간이 길어진 신비는 생각과 다르게 비집고 나오는 서운한 마음을... ",https://bookthumb-phinf.pstatic.net/cover/224/967/22496747.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22496747
라이온의 간식 (오가와 이토 장편소설),오가와 이토,알에이치코리아,9788925579245,"서점대상 2위! 출간 직후 일본 독자들을 전율케 한 감동소설당신에게도 있나요? 돌아가고 싶은 인생의 한순간2020년 서점대상 2위, 2021년 NHK 드라마 제작, 누적 22만 부 발행 등의 기록을 세운 일본 출판계의 화제작 《라이온의 간식》이 출간되었다. 《츠바키 문구점》, 《달팽이 식당》 등 어떤 상황에서도 삶을... ",https://bookthumb-phinf.pstatic.net/cover/212/958/21295853.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21295853
