title,author,publisher,isbn,description,image,link
이기적 컴퓨터활용능력 2급 필기 기본서 (2022),홍태성|영진정보연구소,영진닷컴,9788931464450,"2022년부터 적용되는 현 출제 기준을 완벽하게 반영한 본 도서는 필기시험을 준비하는 수험생을 위한 기본서로 다년간의 출제 경향을 철저히 분석하여 핵심 이론인 기본서(이론서) 2권과 기출 공략집 1권으로 분권하였습니다. 1권/2권에서는 무료 동영상 강의와 함께 이론을 세세하게 공부할 수 있으며, 파트와... ",https://bookthumb-phinf.pstatic.net/cover/208/476/20847686.jpg,http://book.naver.com/bookdb/book_detail.php?bid=20847686
이기적 컴퓨터활용능력 1급 필기 기본서 세트 (2022),홍태성|영진정보연구소,영진닷컴,9788931464443,"2022년부터 적용되는 현 출제 기준을 완벽하게 반영한 본 도서는 필기시험을 준비하는 수험생을 위한 기본서로 다년간의 출제 경향을 철저히 분석하여 핵심 이론인 기본서(이론서) 3권과 기출 공략집 1권으로 분권하였습니다.
1권/2권/3권에서는 무료 동영상 강의와 함께 이론을 세세하게 공부할 수 있으며... ",https://bookthumb-phinf.pstatic.net/cover/208/160/20816011.jpg,http://book.naver.com/bookdb/book_detail.php?bid=20816011
요시다 세이지 작품집&원근법 테크닉 (일러스트를 위한 투시도법),요시다 세이지,영진닷컴,9788931465907,"유명한 배경 아티스트 요시다 세이지의 작품과 그의 작화 노하우를 한 권에!일러스트나 만화, 애니메이션, 게임 등 배경이 들어가는 작품들은 그 배경에 따라 각각의 장면 분위기가 크게 바뀐다. 이처럼 배경 작업은 단순히 인물의 뒷배경이나 설명적인 요소를 뛰어넘어 보는 사람의 감정에까지 작용하여야 하며... ",https://bookthumb-phinf.pstatic.net/cover/212/557/21255739.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21255739
이기적 컴퓨터활용능력 1급 실기 기본서 (2022),박윤정|영진정보연구소,영진닷컴,9788931464382,‘2022 이기적 컴퓨터활용능력 1급 실기 기본서’가 출간되었습니다. 본 도서는 컴퓨터활용능력 1급 실기 응시자를 위한 도서로 시험에 나오는 이론만을 수록하여 짧은 시간에 자격증 대비가 가능하도록 한 완벽 대비서입니다. 2021년 출제된 상설 기출 문제 유형을 적극 반영하였으며 누구나 쉽게 이 책을... ,https://bookthumb-phinf.pstatic.net/cover/208/739/20873902.jpg,http://book.naver.com/bookdb/book_detail.php?bid=20873902
이기적 컴퓨터활용능력 2급 실기 기본서 (2022),박윤정,영진닷컴,9788931464405,‘2022 이기적 컴퓨터활용능력 2급 실기 기본서’가 출간되었습니다. 본 도서는 컴퓨터활용능력 2급 실기 응시자를 위한 도서로 시험에 나오는 이론만을 수록하여 짧은 시간에 자격증 대비가 가능하도록 한 완벽 대비서입니다. 2021년 출제된 상설 기출 문제 유형을 적극 반영하였으며 누구나 쉽게 이 책을... ,https://bookthumb-phinf.pstatic.net/cover/208/508/20850832.jpg,http://book.naver.com/bookdb/book_detail.php?bid=20850832
"이기적 빅데이터분석기사 필기 기본서 (최신 기출분석 반영 + 동영상 강의 무료 제공 + CBT 온라인 모의고사,2022)",나홍석|배원성|이건길|이혜영|고려사이버대학교 AI빅데이터 연구소,영진닷컴,9788931464788,"본 도서는 최신 출제기준을 적용한 도서로, 빅데이터분석기사 필기 시험의 출제 경향을 철저히 분석하여 수험생들이 혼자서도 학습할 수 있도록 한 완벽 대비서입니다. 시행처에서 공개한 출제기준을 바탕으로 집필되었으며, 꼼꼼한 이론과 예상문제를 통해 시험 유형을 익힐 수 있고, 모의고사를 공부하며... ",https://bookthumb-phinf.pstatic.net/cover/208/851/20885185.jpg,http://book.naver.com/bookdb/book_detail.php?bid=20885185
이기적 컴퓨터그래픽스운용기능사 필기 절대족보 (2022),영진정보연구소,영진닷컴,9788931465174,"본 도서는 컴퓨터그래픽스운용기능사 필기 시험을 준비하는 분들을 위한 수험서 입니다. 총 2권으로 이루어져 있으며 1권은 단기간에 합격할 수 있도록 중요한 이론만을 모은 핵심이론 POINT 43을 무료 동영상과 함께 공부할 수 있게 구성하였고, 2권은 자주 출제되는 기출문제 238선으로 부족한 이론을... ",https://bookthumb-phinf.pstatic.net/cover/211/224/21122492.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21122492
"와인 폴리 (당신이 궁금한 와인의 모든 것,매그넘 에디션)",Madeline Puckette|Justin Hammack,영진닷컴,9788931461794,"미국 아마존 와인 분야 베스트셀러 1위!
20여 개의 언어로 번역된 와인 폴리 도서가 매그넘 에디션으로 돌아왔다!

“요즘 출간된 와인 입문서 중 최고다!” - 워싱턴 포스트

“내가 와인을 처음 배울 때도 와인 폴리처럼 재치 있고, 금방 읽히고, 이해하기 쉬운 책이 있었다면 얼마나 좋았을까!” - 카렌 맥닐... ",https://bookthumb-phinf.pstatic.net/cover/159/748/15974803.jpg,http://book.naver.com/bookdb/book_detail.php?bid=15974803
고래별 컬러링북,나윤희,영진닷컴,9788931466102,"“여기가 물 속이고 우리가 물고기라면, 소리 없이도 당신의 언어를 들었을 텐데.”“너는 아무것도 용서하지 마라.”웹툰 ‘고래별’의 명장면을 컬러링북으로 만나 보세요!웹툰 속 주인공들을 내가 원하는 대로 색칠할 수 있다?! 『고래별 컬러링북』은 애달픈 로맨스와 역사 이야기로 많은 사랑을 받았던... ",https://bookthumb-phinf.pstatic.net/cover/224/984/22498413.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22498413
이기적 빅데이터분석기사 실기 기본서 (필답형 + Python분석 + R분석),나홍석|배원성|이건길|이혜영|고려사이버대학교 AI·빅데이터 연구소,영진닷컴,9788931464795,"본 도서는 최신 출제기준을 적용한 도서로, 빅데이터분석기사 실기 시험의 출제 경향을 철저히 분석하여 수험생들이 혼자서도 학습할 수 있도록 한 완벽 대비서이다. 파이썬과 R 언어를 모두 다루며 수험자의 공부 폭을 넓혀 다양한 경험을 제공하고, 꼼꼼한 이론과 예상문제를 통해 시험 유형에 철저하게 대비할... ",https://bookthumb-phinf.pstatic.net/cover/224/256/22425690.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22425690
"이기적 정보처리기능사 필기 기본서&기출공략집 (시험장까지 함께 가는 핵심이론, 2022)",홍태성|영진정보연구소,영진닷컴,9788931465280,‘이기적 정보처리기능사 필기 기본서’가 출간되었습니다. 본 도서는 필기 시험을 준비하는 수험생을 위한 기본서로서 다년간의 출제 경향을 철저히 분석하여 필수 이론인 기본서(이론서)와 기출공략집로 분권하였습니다. 1권에서는 필기시험의 4과목을 PART로 나누어 부족한 부분을 편리하게 학습할 수... ,https://bookthumb-phinf.pstatic.net/cover/208/836/20883672.jpg,http://book.naver.com/bookdb/book_detail.php?bid=20883672
