title,author,publisher,isbn,description,image,link
놓지 마 과학! 17 (모카노 왕국의 보물과 밀실 미스터리),신태훈|나승훈,위즈덤하우스,9791168122369,100만 부를 돌파한 대한민국 대표 학습 만화! CSI 과학수사대를 방불케 하는 증거 찾기X최신 과학 정보X 권위 있는 과학 전문가 감수!2009~2019년 연재된 웹툰 〈놓지 마 정신줄!〉은 조회 수 28억 뷰가 넘는 초인기 웹툰으로 초등학생들의 절대적인 지지와 사랑을 받았다. 이후 애니메이션을 비롯해 웹드라마까지... ,https://bookthumb-phinf.pstatic.net/cover/224/235/22423518.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22423518
오백 년째 열다섯 (김혜정 장편소설),김혜정,위즈덤하우스,9791168121065,"새로운 인연을 만나면 새로운 삶이 시작되었다!”
우리 신화와 옛이야기에서 탄생한 매력적인 K 판타지

위즈덤하우스의 청소년 문학 시리즈 ‘텍스트 T’의 첫 권으로 김혜정 작가의 신작 장편소설 『오백 년째 열다섯』이 출간되었다. 단군 신화와 우리 옛이야기에서 탄생한 야호족과 호랑족의 참신한 세계관... ",https://bookthumb-phinf.pstatic.net/cover/214/257/21425723.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21425723
일 잘하는 사람의 시간은 다르게 흘러간다,이윤규,위즈덤하우스,9791168122628,"30만 유튜브 구독자와 12만 자기계발 독자들이 검증한 이윤규 변호사의 최신작!
진짜 ‘일잘러’가 알려주는 일 잘하는 사람의 전략적 시간 관리법

미라클 모닝, 리추얼, 루틴 등 여러 가지 이름들로 자신의 하루에 질서를 만들어 효율적이고 생산적인 삶을 살고자 하는 ‘갓생러’들이 많아지고 있다. 오랜... ",https://bookthumb-phinf.pstatic.net/cover/223/617/22361739.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22361739
"놓지 마 과학! 16 (놓지 마 정신줄! 학습 만화,으스스 숲 캠핑장의 검은 그림자)",신태훈|나승훈,위즈덤하우스,9791168120266,"2009~2019년 연재된 웹툰 &lt;놓지 마 정신줄!&gt;은 조회 수 28억 뷰가 넘는 초인기 웹툰으로 초등학생들의 절대적인 지지와 사랑을 받았으며, 이후 애니메이션을 비롯해 웹드라마까지 만들어지며 나이와 연령을 불문하고 대중에게 사랑을 받는 콘텐츠로 자리매김했다. 이 인기에 힘입어 《놓지 마 과학!》... ",https://bookthumb-phinf.pstatic.net/cover/212/927/21292750.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21292750
지구인만큼 지구를 사랑할 순 없어 (정세랑 에세이),정세랑,위즈덤하우스,9791191583793,"모두가 기다려온 정세랑의 첫 에세이!친구의 도시를 걸으며 정세랑이 만난 이야기보다 더 이야기 같았던 순간들덧없이 사라진다 해도 완벽하게 근사한 순간들에 대하여모두가 손꼽아 기다려온 책, 이 시대 가장 사랑받는 작가 정세랑의 첫 번째 에세이 『지구인만큼 지구를 사랑할 순 없어』가 우리 앞에... ",https://bookthumb-phinf.pstatic.net/cover/206/116/20611627.jpg,http://book.naver.com/bookdb/book_detail.php?bid=20611627
좋은 사람에게만 좋은 사람이면 돼,김재식,위즈덤하우스,9791190908634,"&quot;함께하고 싶은 봄, 마음만은 늘 가까이&quot;
내 소중한 사람들에게 선물하는 단 한 권의 관계 처방전
이 책은 16년간 200만 팔로워의 뜨거운 공감을 얻은 김재식 작가의 다섯 번째 책이자 사람 사이 관계를 중점적으로 다룬 첫 책이다. 출간한 지 6개월 만에 10만부를 돌파했고, 여전히 베스트셀러 상위권에... ",https://bookthumb-phinf.pstatic.net/cover/166/250/16625049.jpg,http://book.naver.com/bookdb/book_detail.php?bid=16625049
"인성 쑥쑥 한자 쑥쑥, 초등 사자소학",송재환,위즈덤하우스,9791191583526,"초등 고전 읽기 열풍을 불러일으킨 송재환 선생님이 재밌는 만화와 함께 구성한 『인성 쑥쑥 한자 쑥쑥, 초등 사자소학』에서는 초등 저학년에게 가장 필요한 핵심 50구절을 엄선했다. 아이들이 만화를 통해 흥미와 기대감을 키운 뒤 따라 읽고 따라 쓰고 따라 실천하면서 첫 한자 공부를 재미있게 하는 것은... ",https://bookthumb-phinf.pstatic.net/cover/205/143/20514393.jpg,http://book.naver.com/bookdb/book_detail.php?bid=20514393
"놓지 마 과학! 15 (사라진 마이아사우라의 호박 장식을 찾아라,놓지 마 정신줄 학습 만화)",나승훈|신태훈,위즈덤하우스,9791191766318,"100만 부를 돌파한 대한민국 대표 학습 만화!
〈놓지 마 과학!〉 15권 대발매!
1년 만에 정신이가 탐정이 되어 돌아왔다!JS 과학 탐정사무소 탐정이 된 정신이에게 들어온 첫 의뢰는?
 예리한 추리력으로 이야기 속 사건을 해결하다 보면 학습 효과까지 저절로!

2009~2019년 연재된 웹툰 〈놓지 마 정신줄!〉은 조회... ",https://bookthumb-phinf.pstatic.net/cover/208/198/20819830.jpg,http://book.naver.com/bookdb/book_detail.php?bid=20819830
아끼고 아낀 말 (정세운 청춘에세이),정세운,위즈덤하우스,9791168122734,"“보통의 기분으로, 보통의 기억으로.”
때로는 부드럽고 따뜻하게, 때로는 설레고 청량하게
뮤지션 정세운이 들려주는 청춘의 문장들, 위로의 노래들

부드러운 목소리와 담백하고 진솔한 가사로 사랑받는 ‘싱어송라이돌’ 정세운이 들려주는 편안한 위로와 청량한 고백을 담은 청춘 에세이 《아끼고 아낀... ",https://bookthumb-phinf.pstatic.net/cover/223/061/22306187.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22306187
"반도체, 넥스트 시나리오 (미래는 어떤 모습으로 다가오는가)",권순용,위즈덤하우스,9791168120518,"구독자 54만 명, 누적 조회수 8,300만 뷰
공학 유튜버 ‘에스오디 SOD’가 보여주는 가장 확실한 미래

정부출연연구기관인 한국생산기술연구원 연구원 출신으로, 반도체와 관련된 흥미로운 이야기를 알기 쉽게 전달해 많은 사랑을 받고 있는 유튜버 ‘에스오디 SOD’의 첫 책이다. 자율주행자동차부터 에너지... ",https://bookthumb-phinf.pstatic.net/cover/212/927/21292757.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21292757
