title,author,publisher,isbn,description,image,link
공간의 미래 (코로나가 가속화시킨 공간 변화),유현준,을유문화사,9788932474427,"도시는 과연 해체될까?집, 회사, 학교, 상업 시설, 공원… 우리가 생활하고 있는 공간의 가까운 미래를 엿보다우리가 사는 공간은 그 안에 사는 인간의 변화에 맞춰 함께 변화해 왔다. 그런데 코로나19로 우리의 일상이 바뀌면서 공간의 변화 속도가 빨라졌고, 나아가던 방향도 조금 틀어졌다. 이 책은 집, 회사... ",https://bookthumb-phinf.pstatic.net/cover/189/001/18900126.jpg,http://book.naver.com/bookdb/book_detail.php?bid=18900126
김헌의 그리스 로마 신화,김헌,을유문화사,9788932474649,"서울대 서양 고전 열풍의 주역,김헌 교수의 신화 마스터클래스인류 궁극의 바이블이자 서구 문명의 기반인 그리스·로마 신화를 한 권으로 개괄할 수 있는 『김헌의 그리스 로마 신화』가 을유문화사에서 출간되었다. 저자 김헌은 〈차이나는 클라스〉, 〈책 읽어 주는 나의 서재〉, 〈벌거벗은 세계사〉 등... ",https://bookthumb-phinf.pstatic.net/cover/222/984/22298401.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22298401
이기적 유전자 (40주년 기념판),리처드 도킨스,을유문화사,9788932473901,"과학을 넘어선 우리 시대의 고전, 『이기적 유전자』 40주년 기념판&#x0D;리처드 도킨스의 ‘새로운 에필로그’ 수록&#x0D;새로운 디자인으로 다시 태어난 세계적 베스트셀러&#x0D;&#x0D;현대 생물학의 새로운 지평을 연 세계적인 석학 리처드 도킨스의 대표작 『이기적 유전자』의 40주년 기념판이 출간되었다.... ",https://bookthumb-phinf.pstatic.net/cover/140/683/14068322.jpg,http://book.naver.com/bookdb/book_detail.php?bid=14068322
한국 팝의 고고학 1990 (상상과 우상),신현준|최지선|김학선,을유문화사,9788932474717,"*이 시리즈의 첫 두 권인 『한국 팝의 고고학 1960: 탄생과 혁명』과 『한국 팝의 고고학 1970: 절정과 분화』는 2005년에 한길아트에서 출간된 초판의 개정ㆍ증보판이며, 『한국 팝의 고고학 1980: 욕망의 장소』와 『한국 팝의 고고학 1990: 상상과 우상』은 을유문화사에서 처음으로 펴내는 초판입니다.",https://bookthumb-phinf.pstatic.net/cover/224/858/22485812.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22485812
한국 팝의 고고학 1960 (탄생과 혁명),신현준|최지선|김학선,을유문화사,9788932474687,"*이 시리즈의 첫 두 권인 『한국 팝의 고고학 1960: 탄생과 혁명』과 『한국 팝의 고고학 1970: 절정과 분화』는 2005년에 한길아트에서 출간된 초판의 개정ㆍ증보판이며, 『한국 팝의 고고학 1980: 욕망의 장소』와 『한국 팝의 고고학 1990: 상상과 우상』은 을유문화사에서 처음으로 펴내는 초판입니다.",https://bookthumb-phinf.pstatic.net/cover/224/859/22485929.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22485929
공간이 만든 공간 (새로운 것들은 어떻게 만들어지는가),유현준,을유문화사,9788932474274,"새로운 문화는 어떻게 만들어 지는가?농업혁명과 도시 형성은 문명을 발생시켰고, 여러 환경적 제약을 해결하려는 노력은 문화를 만들었다. 특히 문화의 물리적 결정체인 건축은 기후와 환경이 다른 동양과 서양이 각자 다른 양식을 갖게 될 수밖에 없었다. 『공간이 만든 공간』은 그런 지역 간 문화의 교류로... ",https://bookthumb-phinf.pstatic.net/cover/163/297/16329709.jpg,http://book.naver.com/bookdb/book_detail.php?bid=16329709
한국 팝의 고고학 1980 (욕망의 장소),신현준|최지선|김학선,을유문화사,9788932474700,"*이 시리즈의 첫 두 권인 『한국 팝의 고고학 1960: 탄생과 혁명』과 『한국 팝의 고고학 1970: 절정과 분화』는 2005년에 한길아트에서 출간된 초판의 개정ㆍ증보판이며, 『한국 팝의 고고학 1980: 욕망의 장소』와 『한국 팝의 고고학 1990: 상상과 우상』은 을유문화사에서 처음으로 펴내는 초판입니다.",https://bookthumb-phinf.pstatic.net/cover/224/858/22485800.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22485800
한국 팝의 고고학 1970 (절정과 분화),신현준|최지선|김학선,을유문화사,9788932474694,"*이 시리즈의 첫 두 권인 『한국 팝의 고고학 1960: 탄생과 혁명』과 『한국 팝의 고고학 1970: 절정과 분화』는 2005년에 한길아트에서 출간된 초판의 개정ㆍ증보판이며, 『한국 팝의 고고학 1980: 욕망의 장소』와 『한국 팝의 고고학 1990: 상상과 우상』은 을유문화사에서 처음으로 펴내는 초판입니다.",https://bookthumb-phinf.pstatic.net/cover/224/859/22485930.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22485930
국화와 칼 (일본 문화의 틀),루스 베네딕트,을유문화사,9788932474137,"이중적이면서도 모순적인 일본인의 특성을 간파한 명저!일본을 이해하는 데 가장 도움이 되는 고전 가운데 하나인 『국화와 칼』. 1944년, 당시 일본과 전쟁 중이던 미국은 미국인으로서는 도저히 이해할 수 없는 일본인의 행동을 연구하고자 했다. 루스 베네딕트는 미 국무성의 위촉으로 2년여 동안 일본 문화를... ",https://bookthumb-phinf.pstatic.net/cover/153/430/15343099.jpg,http://book.naver.com/bookdb/book_detail.php?bid=15343099
"포지셔닝 (인류 불변의 마케팅 클래식,40주년 기념 스페셜 에디션)",잭 트라우트|알 리스,을유문화사,9788932474403,2002년 을유문화사에서 처음 출간한 한국어판 역시 약 20년이 지난 지금까지 마케팅 필독서로서 그 명성을 유지해 왔다. 한국에서만 선을 보이는 출간 40주년 기념 스페셜 에디션은 휴대의 편의성을 도모한 새로운 판형과 저자 앨 리스의 특별 서문과 함께 책의 가치를 높였다.,https://bookthumb-phinf.pstatic.net/cover/188/291/18829164.jpg,http://book.naver.com/bookdb/book_detail.php?bid=18829164
