title,author,publisher,isbn,description,image,link
"시간을 파는 상점 2 (김선영 장편소설,너를 위한 시간)",김선영,자음과모음,9788954440042,"시간을 정말 사고팔 수는 없을까?제1회 자음과모음 청소년문학상을 수상한 김선영의 소설 『시간을 파는 상점』의 두 번째 이야기 《너를 위한 시간》. 온라인 카페 ‘시간을 파는 상점’을 개설하고 카페에 올라온 의뢰를 해결하고자 고군분투했던 주인공 온조가 상점을 대폭 개편하고 친구 이현, 난주, 혜지와... ",https://bookthumb-phinf.pstatic.net/cover/154/723/15472316.jpg,http://book.naver.com/bookdb/book_detail.php?bid=15472316
"이 장면, 나만 불편한가요?",태지원,자음과모음,9788954446761,"“어라, 웃고 보니 차별이네?”
사회 선생님이 알려 주는 일상의 문제적 표현들
#인권감수성 #차별과혐오 #비판적수용 #미디어리터러시우리가 무심코 사용하는 말들, 정말 괜찮은 걸까? 어쩌면 나도 모르게 누군가를 차별하고 혐오하는 말이나 행동을 하는 건 아닐까? 차별과 혐오는 우리가 미처 알아채지 못한... ",https://bookthumb-phinf.pstatic.net/cover/180/620/18062060.jpg,http://book.naver.com/bookdb/book_detail.php?bid=18062060
공허한 십자가,히가시노 게이고,자음과모음,9788954448185,“미스터리 거장의 걸작!”히가시노 게이고만의압도적 밀도감과 예측할 수 없는 파격적인 전개미스터리 거장의 걸작! 히가시노 게이고의 『공허한 십자가(虛ろな十字架)』가 새로운 모습으로 독자들과 만난다. 『공허한 십자가』는 히가시노 게이고만의 압도적인 밀도감과 예측할 수 없는 파격적 전개로 단연... ,https://bookthumb-phinf.pstatic.net/cover/223/467/22346729.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22346729
"시간을 파는 상점 1 (제1회 자음과모음 청소년문학상 수상작, 김선영 장편소설)",김선영,자음과모음,9788954427173,"시간의 흐름 속에 숨겨진 마법 같은 비밀!제1회 자음과모음 청소년문학상을 수상한 김선영의 작품 『시간을 파는 상점』. 심사위원들의 만장일치로 선정된 당선작으로, 흐르는 시간이라는 소재를 다루고 있다. 소방대원으로 더불어 사는 삶을 실천하다 일찍 세상을 떠난 아빠의 뜻을 이어받은 주인공 온조.... ",https://bookthumb-phinf.pstatic.net/cover/068/723/06872343.jpg,http://book.naver.com/bookdb/book_detail.php?bid=6872343
보통의 노을 (이희영 장편소설),이희영,자음과모음,9788954445764,"『페인트』 작가 이희영 신작
18세 애늙은이 아들, 34세 철없는 엄마
그들 사이에는 말하지 않는 진실이 있다!가족의 의미를 새롭게 살펴본 장편소설 『페인트』로 창비청소년문학상을 수상한 이희영 작가. 그가 이번에는 ‘보통의 의미’를 묻는 작품으로 돌아왔다. 『보통의 노을』은 평범한 삶을 꿈꾸지만... ",https://bookthumb-phinf.pstatic.net/cover/179/325/17932562.jpg,http://book.naver.com/bookdb/book_detail.php?bid=17932562
"시간을 파는 상점 (10주년 특별판,김선영 장편소설)",김선영,자음과모음,9788954448208,"함께 읽은 10년, 『시간을 파는 상점』 10주년 특별판시간이 기다려주지 않는다면, 우리가 그 시간을 먼저 손에 쥐면 된다!세상에서 가장 가치 있는 ‘지금’에 대한 이야기김선영의 『시간을 파는 상점』 출간 10주년 기념 특별판국내 청소년문학의 오랜 스테디셀러 『시간을 파는 상점』이 출간 10주년을... ",https://bookthumb-phinf.pstatic.net/cover/222/218/22221835.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22221835
"가장 질긴 족쇄, 가장 지긋지긋한 족속, 가족 (류현재 장편소설)",류현재,자음과모음,9788954448253,"가족, 그 징글징글한 시작과 끝에 대한 처절한 애증의 이야기제8회 교보문고 스토리공모전 우수상 수상작“세상에서 가장 끔찍한 게 가족이에요.”가족, 그 징글징글한 시작과 끝에 대하여류현재 작가의 『가장 질긴 족쇄, 가장 지긋지긋한 족속, 가족』이 자음과모음에서 출간되었다. 작가는 전작 『네 번째... ",https://bookthumb-phinf.pstatic.net/cover/224/340/22434026.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22434026
소리를 삼킨 소년 (제10회 자음과 모음 청소년문학상 수상작),부연정,자음과모음,9788954446822,"★제10회 자음과모음 청소년문학상 수상작★
“나는 살인사건의 유일한 목격자다!”

한밤 공원에서 일어난 뜻밖의 사건
그가 남긴 냄새의 정체를 밝혀라!50만 독자가 선택한 『시간을 파는 상점』을 시작으로 『오즈의 의류수거함』 『식스팩』에 이르기까지 이야기가 지닌 힘을 보여 준 자음과모음... ",https://bookthumb-phinf.pstatic.net/cover/188/301/18830138.jpg,http://book.naver.com/bookdb/book_detail.php?bid=18830138
통일한국 제1고등학교,전성희,자음과모음,9788954438049,"통일이 된다면 우리 아이들은 분열과 분란을 딛고 화합을 이룰 수 있을까?북한 청소년에 대해 생각해 본 적도, 통일 이후 우리와 그들이 어떻게 만날지 생각해 본 적도 없는 우리에게 구체적인 현실로 통일을 생각해보도록 만드는 소설 『통일한국 제1고등학교』. 남과 북, 나와 너, 서로의 다름을 이해하고 화합을... ",https://bookthumb-phinf.pstatic.net/cover/125/464/12546423.jpg,http://book.naver.com/bookdb/book_detail.php?bid=12546423
"변기에 빠진 세계사 (전염병, 위생, 화장실, 목욕탕에 담긴 세계사와 문화 이야기)",이영숙,자음과모음,9788954442824,"생활과 미용은 물론이고 예술과 산업까지
버려진 오물로 세계사를 읽다!우리 생활과 밀접한 의식주를 주제로 한 『식탁 위의 세계사』 『옷장 속의 세계사』 『지붕 밑의 세계사』에서 세계사의 다양한 면모를 폭넓게 조망한 이영숙 저자가 이번에는 우리 주변에 존재하는 ‘지저분한 것들의 세계사’에... ",https://bookthumb-phinf.pstatic.net/cover/164/058/16405856.jpg,http://book.naver.com/bookdb/book_detail.php?bid=16405856
