title,author,publisher,isbn,description,image,link
고양이 해결사 깜냥 4 (눈썰매장을 씽씽 달려라!),홍민정,창비,9788936448134,"겨울은 신나게! 누구나 즐겁게!★어린이 베스트셀러 1위, 『고양이 해결사 깜냥』 4권 출간★출간 즉시 어린이 분야 1위를 기록한 화제의 베스트셀러 『고양이 해결사 깜냥』이 네 번째 책으로 돌아왔다. 겨울을 맞은 떠돌이 고양이 깜냥이 매서운 추위를 피해 향한 곳은 시내의 자그마한 눈썰매장이다. 깜냥은... ",https://bookthumb-phinf.pstatic.net/cover/213/985/21398581.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21398581
위저드 베이커리,구병모,창비,9788936434618,"“당신에게도 되감고 싶은 시간이 있습니까?” 50만 부 판매 베스트셀러위험한 소원이 이루어지는 곳, 위저드 베이커리50만 독자를 사로잡은 구병모 장편소설 『위저드 베이커리』가 소설Y 시리즈로 다시 돌아왔다. 2009년 출간 이후 멕시코 프랑스 태국 등 9개국에 번역 수출되며 꾸준히 사랑받은 작품으로... ",https://bookthumb-phinf.pstatic.net/cover/222/502/22250219.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22250219
위풍당당 여우 꼬리 2 (알쏭달쏭 우정 테스트),손원평,창비,9788936448172,"90만 독자가 선택한 『아몬드』 손원평의 귀환&#x0D;“누가 뭐래도 나는 영원한 우정주의자니까!”&#x0D;우정의 비밀과 법칙을 알려주는 동화&#x0D;&#x0D;2021년 출간 직후 ‘미운 나도, 이상한 나도 사랑하는 법을 일깨우는 이야기’라는 호평을 받으며 베스트셀러에 오른 ‘위풍당당 여우 꼬리’ 시리즈가 두 번째... ",https://bookthumb-phinf.pstatic.net/cover/219/767/21976792.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21976792
장면들 (손석희의 저널리즘 에세이),손석희,창비,9788936478902,"“뉴스가 나가는 동안,세상은 이미 폭발하고 있었다”대한민국 대표 언론인 손석희한국사회를 뒤흔든 사건들의 중심에서 그가 직접 하고 싶었던 말들손석희가 드디어 독자를 만난다. JTBC 「뉴스룸」 앵커석에서 내려온 지 1년 반 만에 저널리즘 에세이로 찾아왔다. 손석희 앵커는 그동안 「뉴스룸」... ",https://bookthumb-phinf.pstatic.net/cover/212/875/21287538.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21287538
"아몬드 (손원평 장편소설,100만 부 기념 특별판)",손원평,창비,9788936438753,"“나에겐 아몬드가 있다. 당신에게도.”
『아몬드』 100만 부 돌파!

★★★ 아시아권 최초, 2020 일본 서점대상 번역소설 부문 수상
★★★ 미국, 프랑스, 일본, 중국, 스페인, 태국 등 20여 개국 번역 수출 계약
★★★ 2017 교보문고 올해의 한국소설, 2021 영풍문고 올해의 책 
★★★ 2022 뮤지컬, 연극으로... ",https://bookthumb-phinf.pstatic.net/cover/224/619/22461942.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22461942
"푸른 사자 와니니 3 (이현 장편동화,새로운 약속)",이현,창비,9788936443160,"검은 땅의 평화를 되찾기 위한
와니니와 친구들의 감동적인 모험
‘푸른 사자 와니니’ 세 번째 이야기베스트셀러 ‘푸른 사자 와니니’가 독자들의 응원에 힘입어 세 번째 이야기로 돌아왔다. 떠돌이 생활을 끝내고 자신들의 영토를 갖게 된 와니니와 친구들 앞에 치타, 하이에나, 들개 등 여러 동물이 연달아... ",https://bookthumb-phinf.pstatic.net/cover/180/062/18006238.jpg,http://book.naver.com/bookdb/book_detail.php?bid=18006238
고양이 해결사 깜냥 3 (태권도의 고수가 되어라!),홍민정,창비,9788936448011,"“태권! 나는 고양이 사범 깜냥이야.”

★‘고양이 해결사 깜냥’ 3권 출간★자유롭게 떠돌며 어떤 고민이든 척척 해결해 주는 사랑스러운 고양이 캐릭터로 어린이 독자들의 마음을 단숨에 훔친 『고양이 해결사 깜냥』이 세 번째 이야기로 돌아왔다. 아파트 경비실과 피자 가게를 거쳐 깜냥이 찾아간 곳은 기합... ",https://bookthumb-phinf.pstatic.net/cover/205/809/20580930.jpg,http://book.naver.com/bookdb/book_detail.php?bid=20580930
눈아이 (안녕달 그림책),안녕달,창비,9788936455736,한겨울을 포근하게 감싸는 마법 같은 상상『수박 수영장』 『당근 유치원』 작가 안녕달의 겨울 이야기모든 그림책 독자를 설레게 하는 안녕달 작가의 신작 『눈아이』가 출간되었다. 작가 특유의 따뜻하고 포근한 상상력으로 겨울의 정취와 빛나는 유년의 한때를 뭉클하게 그린 작품이다. 이야기는 한 아이가 눈... ,https://bookthumb-phinf.pstatic.net/cover/212/918/21291813.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21291813
열두 살 장래 희망,박성우,창비,9788936448035,"아름다운 내일을 꿈꾼다!
어린이를 위한 진짜 장래 희망 안내서

베스트셀러 『아홉 살 마음 사전』 저자 박성우 신작어린이를 위한 장래 희망 안내서 『열두 살 장래 희망』이 출간되었다. ‘직업’이 아니라 ‘꿈’에 초점을 맞추어 행복한 미래를 만들어 가기 위한 33개의 장래 희망을 소개한다. 아름다운... ",https://bookthumb-phinf.pstatic.net/cover/207/483/20748374.jpg,http://book.naver.com/bookdb/book_detail.php?bid=20748374
위풍당당 여우 꼬리 1 (으스스 미션 캠프),손원평,창비,9788936448097,"거침없는 이야기에 빠져들고, 감각적인 일러스트에 반한다!『아몬드』 손원평 X 『양말 도깨비』 만물상 작가의 환상적인 만남데뷔작 『아몬드』로 80만 독자들의 마음을 사로잡으며 『서른의 반격』 『프리즘』 『타인의 집』 등  다양한 색채의 작품을 발표해 온 손원평 작가가 어린이책 신간 『위풍당당 여우... ",https://bookthumb-phinf.pstatic.net/cover/211/617/21161714.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21161714
채식주의자,한강,창비,9788936434595,"인터내셔널 부커상, 산클레멘테 문학상 수상작전세계가 주목한 한강의 역작을 다시 만나다2016년 인터내셔널 부커상을 수상하며 한국문학의 입지를 한단계 확장시킨 한강의 장편소설 『채식주의자』를 15년 만에 새로운 장정으로 선보인다. 상처받은 영혼의 고통과 식물적 상상력의 강렬한 결합을 정교한... ",https://bookthumb-phinf.pstatic.net/cover/222/924/22292424.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22292424
피프티 피플 (정세랑 장편소설),정세랑,창비,9788936434540,『피프티 피플』 10만부 판매 기념 전면개정판 출간! 50명의 손을 하나하나 맞잡는 올곧고 따스한 시선정멜멜 작가의 사진으로 새롭게 만나는 친환경 에디션10만 독자를 사로잡은 스테디셀러 『피프티 피플』을 새로운 장정으로 선보인다. 『피프티 피플』이 출간됐던 2016년은 정세랑이 작가로서 분기점을... ,https://bookthumb-phinf.pstatic.net/cover/208/342/20834288.jpg,http://book.naver.com/bookdb/book_detail.php?bid=20834288
나인 (천선란 장편소설),천선란,창비,9788936438609,"“어느 날, 식물들의 목소리가 들리기 시작했다.”독보적 상상력, 폭발하는 스토리텔링!재미와 감동을 전 세대에 전하는 소설Y 시리즈가 새로운 K-영어덜트의 세계를 펼쳐 보인다. 한국형 영어덜트 소설의 지평을 넓히는 이번 시리즈의 두 번째 권으로 제4회 한국과학문학상 대상을 수상한 천선란 작가의 신작... ",https://bookthumb-phinf.pstatic.net/cover/211/936/21193696.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21193696
고양이 해결사 깜냥 2 (최고의 요리에 도전하라!),홍민정,창비,9788936447861,고양이 요리사 깜냥입니다.”&#x0D;&#x0D;도도하고도 사랑스러운 깜냥 캐릭터로 일상적인 이야기를 유머러스하고 따뜻하게 풀어냈다는 평을 받으며 제24회 창비 ‘좋은 어린이책’ 원고 공모 대상을 받은 『고양이 해결사 깜냥』의 후속작이 출간되었다. 유머러스하고 마음씨 따뜻한 고양이 깜냥이 세상... ,https://bookthumb-phinf.pstatic.net/cover/168/746/16874636.jpg,http://book.naver.com/bookdb/book_detail.php?bid=16874636
일하고 일하고 사랑을 하고,최지인,창비,9788936424725,"“슬픈 마음이 안 슬픈 마음이 될 때까지”손을 높이 들고, 우리 세대의 목소리를!뜨거운 사랑의 힘으로 쓴 리얼리스트의 시한국사회를 살아가는 청년의 일과 사랑과 아픔을 가슴에 와닿는 적확한 언어로 표상해온 ‘리얼리스트’ 최지인 시인의 두번째 시집 『일하고 일하고 사랑을 하고』가 창비시선으로... ",https://bookthumb-phinf.pstatic.net/cover/222/081/22208109.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22208109
"눈, 물",안녕달,창비,9788936455880,"사랑스러운 판타지 세계를 만들어 온 안녕달 작가가 신작 『눈, 물』로 성인 독자를 위한 이야기를 새롭게 선보인다. 녹아서 사라지는 아이를 구하기 위해 고투하는 여자의 시공간을 그린 이번 작품은 어둡고 고통스러운 이야기를 피하지 않고 똑바로 바라보면서 경계 밖에 있는 소외된 사람들도 행복해질 수... ",https://bookthumb-phinf.pstatic.net/cover/225/252/22525291.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22525291
고양이 해결사 깜냥 1 (아파트의 평화를 지켜라!),홍민정,창비,9788936447694,"매력 만점 고양이 해결사가 나타났다제24회 창비 ‘좋은 어린이책’ 원고 공모 동화 부문 대상 수상작이자, 새로운 시리즈의 시작을 알리는 『고양이 해결사 깜냥』이 출간되었다. 떠돌이 고양이 깜냥이 경비원이 되어 아파트에서 벌어지는 여러 문제를 해결하는 과정이 유쾌하고 흥미롭게 펼쳐진다. 새침한 듯... ",https://bookthumb-phinf.pstatic.net/cover/163/149/16314963.jpg,http://book.naver.com/bookdb/book_detail.php?bid=16314963
백의 그림자,황정은,창비,9788936438715,"황정은이라는 압도적인 세계는『百의 그림자』에서 시작되었다우리 문학의 잊지 못할 한걸음,현실과 환상을 넘나드는 아름다운 문장들황정은의 첫 장편소설 『百의 그림자』가 새로운 장정과 정제된 문장으로 다시 출간되었다. 아름답고도 독특한 개성으로 자신만의 문학영역을 공고히 구축한 황정은은 이미... ",https://bookthumb-phinf.pstatic.net/cover/214/728/21472868.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21472868
루호 (채은하 장편동화),채은하,창비,9788936443238,“나는 호랑이답게 살아갈 거야.”호랑이의 기상을 이어받은 새로운 한국형 판타지의 등장!『괭이부리말 아이들』 『기호 3번 안석뽕』 『고양이 해결사 깜냥』 등 주옥같은 창작동화와 숱한 화제작을 발굴해 온 창비 ‘좋은 어린이책’ 원고 공모의 제26회 고학년 창작 부문 대상작 『루호』. ‘사람으로 변신한... ,https://bookthumb-phinf.pstatic.net/cover/223/012/22301231.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22301231
나나 (이희영 장편소설),이희영,창비,9788936459574,“당신의 영혼을 찾으러 왔습니다.”&#x0D;30만 부 판매 『페인트』 이희영 신작&#x0D;『아몬드』 『위저드 베이커리』를 잇는 K-영어덜트의 매력적 세계!&#x0D;&#x0D;재미와 감동을 전 세대에 전하는 소설Y 시리즈가 새로운 K-영어덜트의 세계를 펼쳐 보인다. 한국형 영어덜트 소설의 지평을 넓히는 이번 시리즈의... ,https://bookthumb-phinf.pstatic.net/cover/210/292/21029271.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21029271
일기 (황정은 에세이),황정은,창비,9788936438586,창비가 새롭게 선보이는 ‘에세이&’ 시리즈의 첫 책이라는 점에서도 이번 출간의 의미는 남다르다. 에세이&은 일상과 세계 사이에서 빛나는 이야기를 발굴해 사회와 조응하는 책으로 묶어 창비 고유의 색깔을 드러내는 시리즈로 꾸려질 예정이다.,https://bookthumb-phinf.pstatic.net/cover/211/227/21122714.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21122714
달까지 가자 (장류진 장편소설),장류진,창비,9788936434496,"『일의 기쁨과 슬픔』 장류진의 첫 장편
직장인 공감백배 하이퍼리얼리즘 소설첫 소설집 『일의 기쁨과 슬픔』(창비 2019)으로 평단의 주목과 독자의... 3월 창비 〈문학3〉 웹진과 ‘스위치’)부터 이삼십대 젊은 독자들의 열띤 호응을 얻었다. 특히 단순한 현실 반영이 아니라 작가적이고 개성적인 현실의... ",https://bookthumb-phinf.pstatic.net/cover/189/038/18903895.jpg,http://book.naver.com/bookdb/book_detail.php?bid=18903895
"푸른 사자 와니니 (이현 장편동화,창비아동문고 280)",이현,창비,9788936442804,"서로 다른 모습 그대로, 초원을 달린다!《짜장면 불어요!》《장수 만세!》《로봇의 별》과 같은 새로운 이야기로 한국 아동문학의 외연을 넓혀 온 작가 이현의 신작 장편동화 『푸른 사자 와니니』. 쓸모없다는 이유로 무리에서 쫓겨난 사자 와니니가 초원을 떠돌며 겪는 일들을 그린 동화로, 아프리카의 광활한... ",https://bookthumb-phinf.pstatic.net/cover/092/203/09220379.jpg,http://book.naver.com/bookdb/book_detail.php?bid=9220379
마지막 레벨 업 (윤영주 장편동화),윤영주,창비,9788936443177,"“당신을 위한 진짜 세계, 판타지아에 오신 것을 환영합니다.”
가상 현실 게임 속에서 펼쳐지는 경이로운 모험과 사랑[작품 줄거리]
학교에서나 집에서나 언제나 외톨이인 선우. 하루 중 즐거운 시간이라고는 매일 딱 한 시간, ‘판타지아’ 게임에 접속해 있을 때뿐입니다. 그러던 어느 날 선우는 게임 속 위기의... ",https://bookthumb-phinf.pstatic.net/cover/185/241/18524126.jpg,http://book.naver.com/bookdb/book_detail.php?bid=18524126
고르고 고른 말 (카피라이터·만화가·시인 홍인혜의 언어생활),홍인혜,미디어창비,9791191248432,미디어창비에서 출간되었다. 국민일보와 한겨레신문에 연재해온 칼럼에 새롭게 글을 보탠 이 책은 정곡을 찌르는 메시지와 빈틈을 파고드는 유머로 말에 대한 이야기를 펼친다. 일상툰 ‘루나파크’로 독자들과 끈끈한 공감대를 형성해온 홍인혜는 말의 세계가 늘 궁금했다. 작은 태양계처럼 말의 인력에 이끌린... ,https://bookthumb-phinf.pstatic.net/cover/212/958/21295832.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21295832
벌거벗은 미술관 (양정무의 미술 에세이),양정무,창비,9788936478780,미술의 눈으로 보면 역사와 인류가 다시 보인다미술이 보여주는 반전의 대서사시!다양한 학문의 경계를 넘나들며 미술사를 풀어내는 우리나라 최고의 미술 안내자 양정무가 미술에 대한 우리의 오래된 고정관념을 환기하며 미술작품을 통한 사유와 감성의 확대를 모색한 책 『벌거벗은 미술관』이 출간되었다.... ,https://bookthumb-phinf.pstatic.net/cover/208/536/20853667.jpg,http://book.naver.com/bookdb/book_detail.php?bid=20853667
마법소녀 은퇴합니다 (박서련 소설),박서련,창비,9788936438739,창비의 젊은 경장편 시리즈 소설Q의 열세번째 작품이다. 선보이는 작품마다 강하고 아름다운 여성 인물을 내세워 작품세계의 지평을 넓혀가던 박서련이 이번에는 ‘마법소녀’의 손을 잡고 돌아왔다. 소설의 마법소녀들은 사전적 의미의 ‘소녀’에 갇히지 않는다. 나이가 많아도 혹은 나이가 아주 어려도 혹은... ,https://bookthumb-phinf.pstatic.net/cover/223/378/22337888.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22337888
푸른 사자 와니니 2 (검은 땅의 주인),이현,창비,9788936443054,초등 ‘한 학기 한 권 읽기’ 베스트셀러 『푸른 사자 와니니』 제2탄&#x0D;&#x0D;자신들만의 땅을 찾아 아프리카 초원을 달리는&#x0D;푸른 사자 와니니와 친구들의 모험&#x0D;&#x0D;어린 사자 와니니의 모험을 그리며 많은 어린이 독자들의 사랑을 받고 있는 『푸른 사자 와니니』(2015)의 후속작 『푸른 사자 와니니... ,https://bookthumb-phinf.pstatic.net/cover/153/441/15344116.jpg,http://book.naver.com/bookdb/book_detail.php?bid=15344116
"페인트 (이희영 장편소설,믿고 읽는 창비청소년문학상 수상작,창비청소년문학 89)",이희영,창비,9788936456894,"지금부터 부모 면접을 시작하겠습니다!제12회 창비청소년문학상 수상작 『페인트』. 국가에서 센터를 설립해 아이를 키워 주는 양육 공동체가 실현된 미래 사회, 청소년이 부모를 직접 면접 본 뒤 선택하는 색다른 풍경을 그리며 좋은 부모란, 나아가 가족의 의미란 무엇인지를 청소년의 시선에서 질문하는... ",https://bookthumb-phinf.pstatic.net/cover/147/957/14795770.jpg,http://book.naver.com/bookdb/book_detail.php?bid=14795770
당근 유치원 (안녕달 그림책),안녕달,창비,9788936455552,창비는 더 많은 아이들이 함께 모여 책을 읽고 이야기하며 특별한 독서 경험을 나누게 하고자 독자에게 사랑받는 그림책을 ‘빅북(BIG BOOK)’으로 만들었습니다. 출력 가능한 최대 사이즈로 만든 빅북은 여러 아이들이 둘러앉아 함께 책 읽는 시간을 더욱 편하고 즐겁게 해 줄 것입니다. 2015년 첫 그림책 『수박... ,https://bookthumb-phinf.pstatic.net/cover/164/290/16429005.jpg,http://book.naver.com/bookdb/book_detail.php?bid=16429005
선량한 차별주의자,김지혜,창비,9788936477196,"선량한 마음만으로 평등은 이루어지지 않는다!은밀하고 사소하며 일상적이고 자연스럽게 벌어지는 일들 속에서 선량한 우리가 놓치고 있던 차별과 혐오의 순간을 날카롭게 포착하는 『선량한 차별주의자』. 차별의 사각지대에 놓인 이들을 직접 찾아가는 현장 활동가이자, 통계학·사회복지학·법학을 넘나드는... ",https://bookthumb-phinf.pstatic.net/cover/151/394/15139498.jpg,http://book.naver.com/bookdb/book_detail.php?bid=15139498
있지만 없는 아이들 (미등록 이주아동 이야기),은유,창비,9788936478735,"“나는 이들에게서 운명을 마주하는 힘을 배웠다.”
『쓰기의 말들』 『알지 못하는 아이의 죽음』 은유 신작!
있지만 없고 없지만 있는, 미등록 이주아동 이야기있지만 없는 아이들이 있다. 부모에게 체류자격이 없다는 이유로 국가가 돌보지 않는 아이들, 아무 잘못도 하지 않았는데 법을 어긴 존재가 되어... ",https://bookthumb-phinf.pstatic.net/cover/206/490/20649055.jpg,http://book.naver.com/bookdb/book_detail.php?bid=20649055
문해력 교과서 (초등 국어 1학년),이도영|이형래|이천희|전인숙|권은주,창비교육,9791165701284,"초등 공부의 기본은 문해력 키우기현직 초등 교사 1,000명이 추천한 학년별 문해력 교과서EBS 「당신의 문해력」 강의 조병영 교수, 김지철 충청남도 교육감 강력 추천!요즘 문해력이 화제이다. 너도나도 문해력을 키워야 한다고 말한다. 문해력이 무엇이길래 그럴까? 흔히 문해력은 ‘글을 읽고 쓰는 능력’을... ",https://bookthumb-phinf.pstatic.net/cover/222/927/22292718.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22292718
호수의 일,이현,창비,9788936438722,"“당신이 이 소설을 읽고 흔들리길 바란다.”얼어붙은 사춘기, 끝내 맞이하는 성장과 치유『아몬드』 『유원』을 잇는 눈부신 성장소설성장하는 이들의 마음을 세밀히 살펴 온 이현 작가의 신작 장편소설 『호수의 일』이 출간되었다. 열일곱 살 주인공 호정이 은기와 만나 경험하는 설렘과 사랑, 각자의 상처를... ",https://bookthumb-phinf.pstatic.net/cover/214/715/21471576.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21471576
