title,author,publisher,isbn,description,image,link
리:티핑 포인트 (위기 극복의 11가지 반전 포인트와 45가지 실전 전략),민병운|이형기|문지현,학지사,9788999724787,2020년 2월부터 시작된 코로나. 코로나19 펜데믹 선언 후 만 2년이 지나고 코로나 바이러스 감염증 확산세가 줄고 사회적 거리두기가 해제되는 등 본격적인 엔데믹에 접어들었다. 엔데믹에 힘입어 억눌렸던 소비심리가 상승하는 등 '보복 소비' 분위기가 이어지고 있다. 지금 당신의 비즈니스는 어떤가? 지금이... ,https://bookthumb-phinf.pstatic.net/cover/224/985/22498587.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22498587
인지행동 놀이치료 워크북 (아동과 청소년을 위한),Lisa Weed Phifer,학지사,9788999722288,"『아동과 청소년을 위한 인지행동놀이치료 워크북』은 현재 아동 및 청소년이 빈번히 겪고 있는 많은 정신건강 문제를 다루기 위한 치료 목표 및 활동으로 구성되어 있다. 이 책은 아동 및 청소년의 실행기능, 사회적 기술, 뇌 기반 접근의 활동을 통해 전통적인 인지행동치료의 치료적 효과를 높이도록... ",https://bookthumb-phinf.pstatic.net/cover/168/925/16892536.jpg,http://book.naver.com/bookdb/book_detail.php?bid=16892536
기출문제로 풀어가는 임상심리사 2급 필기 개념완성 (2022 최신판),김도연,학지사,9788999726897,,https://bookthumb-phinf.pstatic.net/cover/225/004/22500485.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22500485
상처받은 내면아이 치유,John Bradshaw,학지사,9788958910060,"상처받은 내면아이를 위한 치유서. 상처받은 내면아이 치유는 과거의 심리치료와는 달리, 사람의 마음속에 있는 상처받은 내면아이를 발견하고 가치체계의 핵심요소를 직접적으로 치유함으로써 가장 빠른 변화를 가져오게 하는 치료이다. 따라서 아직 치료되지 않은 내면의 상처로 인해서 현재도 계속 되는... ",https://bookthumb-phinf.pstatic.net/cover/014/627/01462707.jpg,http://book.naver.com/bookdb/book_detail.php?bid=1462707
기출문제로 풀어가는 임상심리사 2급 필기 기출문제집 (2022 최신판),김도연,학지사,9788999726903,,https://bookthumb-phinf.pstatic.net/cover/225/004/22500484.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22500484
상담심리학의  이론과 실제,천성문,학지사,9788999723711,"이 책은 모두 4부로 구성되어 있다. 제1부는 상담에 대한 전반적인 개요에 해당하는 부분으로, 4판에서 수정되거나 추가된 내용이 많이 포함되어 있다. 수정된 내용을 중심으로 살펴보면, 제1장에서 상담기관 부분을 삭제하고 상담의 효과 내용을 추가하였다. 제2장에서는 상담자 수련과정을 삭제하고 상담... ",https://bookthumb-phinf.pstatic.net/cover/180/643/18064333.jpg,http://book.naver.com/bookdb/book_detail.php?bid=18064333
현대 심리치료와 상담 이론 (마음의 치유와 성장으로 가는 길),권석만,학지사,9788963309262,마음의 치유와 성장으로 가는 길『현대 심리치료와 상담 이론』. 이 책은 현재 세계적으로 가장 널리 시행되고 있을 뿐만 아니라 이론적 체계를 잘 갖춘 12개의 치료적 입장을 소개한다. 심리치료의 모태라고 할 수 있는 정신분석 치료에서부터 자아초월 심리치료에 이르기까지 각 치료적 입장에서 제시하고 있는... ,https://bookthumb-phinf.pstatic.net/cover/069/894/06989432.jpg,http://book.naver.com/bookdb/book_detail.php?bid=6989432
"느린 학습자 인지훈련 프로그램 1 (작업기억·기억력·행동억제·집행력, 경계선 지능 아동.청소년을 위한)",박현숙,학지사,9788999722394,"『느린 학습자 인지훈련 프로그램. 1』 은 〈그림 보고 기억나는 대로 적어보기〉, 〈낱말 듣고 기억나는 대로 말하기〉, 〈불러 주는 숫자를 잘 들으며 빈칸 채워 넣기〉, 〈반복해서 소리 내어 읽거나, 손으로 여러 번 쓰면서 외우기〉, 〈같은 특성끼리 묶어서 기억하기〉, 〈내용을 시각화하여 기억하기〉... ",https://bookthumb-phinf.pstatic.net/cover/175/266/17526634.jpg,http://book.naver.com/bookdb/book_detail.php?bid=17526634
개념 기반 탐구학습의 실천 (전이 가능한 이해의 촉진 전략),Carla Marschall|Rachel French,학지사,9788999725050,이 책은 개념 기반 탐구학습의 실천에 대해 다룬 도서입니다. 기초적이고 전반적인 내용을 확인할 수 있도록 구성했습니다.,https://bookthumb-phinf.pstatic.net/cover/210/293/21029366.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21029366
MMPI-2 해설서,Alan F. Friedman|P. Kecin Bolinskey|Richard W. Levak|David S. Nichols,학지사,9788999720321,▶ 이 책은 심리학을 다룬 이론서입니다. 심리학의 기초적이고 전반적인 내용을 학습할 수 있습니다.,https://bookthumb-phinf.pstatic.net/cover/162/669/16266910.jpg,http://book.naver.com/bookdb/book_detail.php?bid=16266910
