title,author,publisher,isbn,description,image,link
"구글 엔지니어는 이렇게 일한다 (구글러가 전하는 문화, 프로세스, 도구의 모든 것)",타이터스 윈터스|톰 맨쉬렉|하이럼 라이트,한빛미디어,9791162245620,구글은 어떻게 개발하고 코드를 관리하는가&#x0D;&#x0D;지난 50년의 세월과 이 책이 입증한 사실이 한 가지 있다. 바로 '소프트웨어 엔지니어링의 발전은 결코 정체되지 않는다'라는 것이다. 빠른 기술 변화 속에서 소프트웨어 엔지니어링의 중요성이 더욱 강조되면서 소프트웨어 엔지니어의 역할은 점점 더 확장될... ,https://bookthumb-phinf.pstatic.net/cover/224/479/22447905.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22447905
"맛있는 디자인 포토샵&일러스트레이터 CC (누구나 쉽게 배워 제대로 써먹는 그래픽 입문서,2022)",빨간고래|윤이사라,한빛미디어,9791162245101,"포토샵&일러스트레이터를 제대로 배우는 가장 완벽한 레시피!
한 권으로, 한번에! 쉽고 빠르게 익혀 바로 써먹는 그래픽 입문서!
그래픽 디자인에 꼭 필요한 포토샵과 일러스트레이터를 한번에, 그리고 가볍게 배울 수 있습니다. 핵심만 골라 담아 부담 없이 학습할 수 있으며, 따로따로 배우는 것보다 두... ",https://bookthumb-phinf.pstatic.net/cover/213/961/21396100.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21396100
혼자 공부하는 머신러닝+딥러닝 (1:1 과외하듯 배우는 인공지능 자습서),박해선,한빛미디어,9791162243664,"혼자 해도 충분하다! 1:1 과외하듯 배우는 인공지능 자습서이 책은 수식과 이론으로 중무장한 머신러닝, 딥러닝 책에 지친 ‘독학하는 입문자’가 ‘꼭 필요한 내용을 제대로’ 학습할 수 있도록 구성했다. 구글 머신러닝 전문가(GOOGLE ML EXPERT)로 활동하고 있는 저자는 여러 차례의 입문자들과 함께한... ",https://bookthumb-phinf.pstatic.net/cover/175/884/17588441.jpg,http://book.naver.com/bookdb/book_detail.php?bid=17588441
"네이버 블로그로 돈 벌기 (1년에 5,000만 원 버는 수익 확장 노하우)",아빠동동,한빛미디어,9791162244777,네이버 블로그 상위 0.1% 탑 블로거가 알려주는 12가지 블로그 수익화 전략퇴사 없이 경제적 자유를 획득하라!네이버 블로그를 운영하는 사람이라면 누구나 블로그를 통해 수익을 창출하고 유명해지길 원합니다. 하지만 꾸준히 한다고 블로그가 무조건 성장하는 것은 아닙니다. 네이버 블로그로 단기간에 수익을... ,https://bookthumb-phinf.pstatic.net/cover/209/410/20941046.jpg,http://book.naver.com/bookdb/book_detail.php?bid=20941046
"일잘러의 비밀, 엑셀 대신 파이썬으로 업무 자동화하기 (엑셀 반복 업무로 지친 직장인, 파이썬으로 칼퇴하자)",포스코인재창조원,한빛미디어,9791162245569,"일잘러로 거듭나려면, 이제 엑셀 대신 파이썬이다!&#x0D;직장인들에게 날개를 달아 줄 파이썬 업무 자동화!&#x0D;&#x0D;지금까지 엑셀을 잘만 써 왔는데, 왜 다들 파이썬을 하라는 걸까요? 엑셀은 사무 업무에 최적화된 프로그램이지만 대용량 데이터를 처리하거나 반복 업무를 자동화하는 데는 한계가 있다.... ",https://bookthumb-phinf.pstatic.net/cover/224/255/22425526.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22425526
헤드 퍼스트 디자인 패턴 (14가지 GoF 필살 패턴!),에릭 프리먼|엘리자베스 롭슨|케이시 시에라|버트 베이츠,한빛미디어,9791162245262,"유지관리가 편리한 객체지향 소프트웨어 만들기!
“『헤드 퍼스트 디자인 패턴(개정판)』 한 권이면 충분합니다!”

이유 1. 흥미로운 이야기와 재치 넘치는 구성이 담긴 〈헤드 퍼스트〉 시리즈!
하나의 패턴에 하나의 이야기를 담았습니다. 틀에 박히지 않아 지루할 틈이 없는 구성과 친구와 이야기하듯... ",https://bookthumb-phinf.pstatic.net/cover/222/363/22236366.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22236366
이것이 취업을 위한 코딩 테스트다 with 파이썬 (취업과 이직을 결정하는 알고리즘 인터뷰 완벽 가이드),나동빈,한빛미디어,9791162243077,"IT 취준생이라면 누구나 입사하고 싶은 카카오ㆍ삼성전자ㆍ네이버ㆍ라인! 취업의 성공 열쇠는 알고리즘 인터뷰에 있다!  IT 취준생이라면 누구나 가고 싶어 하는 카카오, 라인, 삼성전자의 2016년부터 2020년까지의 코딩 테스트와 알고리즘 대회의 기출문제를 엄선하여 수록하였다. 최근 5년간의 코딩 테스트... ",https://bookthumb-phinf.pstatic.net/cover/164/391/16439154.jpg,http://book.naver.com/bookdb/book_detail.php?bid=16439154
혼자 공부하는 SQL,우재남,한빛미디어,9791162244739,"혼자 해도 충분하다! 
1:1 과외하듯 배우는 데이터베이스 자습서(MySQL Community 8.0 지원)
이 책은 아무런 사전 지식 없는 입문자가 ‘꼭 필요한 내용을 제대로’ 학습할 수 있도록 구성했다. ‘무엇을’, ‘어떻게’ 학습해야 할지조차 모르는 입문자의 막연한 마음을 살펴, 과외 선생님이 알려주듯 친절하게... ",https://bookthumb-phinf.pstatic.net/cover/211/768/21176879.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21176879
혼자 공부하는 얄팍한 코딩 지식,고현민,한빛미디어,9791162245552,"- 혼자 해도 충분합니다! 1:1 과외하듯 배우는 IT 지식 입문서
이 책은 독학으로 IT 지식을 배우는 입문자가 ‘꼭 필요한 내용을 제대로 학습’할 수 있도록 구성했습니다. 뭘 모르는지조차 모르는 입문자의 막연한 마음에 십분 공감하여 과외 선생님이 알려주듯 친절하게, 핵심 내용만 콕콕 집어 줍니다.... ",https://bookthumb-phinf.pstatic.net/cover/224/583/22458395.jpg,http://book.naver.com/bookdb/book_detail.php?bid=22458395
맛있는 디자인 프리미어 프로&애프터 이펙트 CC 2022 (누구나 쉽게 배워 제대로 써먹는 그래픽 입문서),김덕영|심수진|윤성우|이수정,한빛미디어,9791162245156,"프리미어 프로&애프터 이펙트를 제대로 배우는 가장 완벽한 레시피!
한 권으로, 한번에! 쉽고 빠르게 익혀 바로 써먹는 그래픽 입문서!
영상 제작과 편집, 모션 그래픽에 꼭 필요한 프리미어 프로와 애프터 이펙트를 한번에, 그리고 가볍게 배울 수 있습니다. 핵심만 골라 담아 부담 없이 학습할 수 있으며... ",https://bookthumb-phinf.pstatic.net/cover/214/320/21432075.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21432075
